,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_afghan,hash_afghanistan,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_tiktok,hash_viral,hash_پشتون_تاجیک_هزاره_ازبک_زنده_باد
0,FR,7084924456849706245,1649587523, ,6861266353005888518,La tictokeuse 869,latiktokeuse869🦄,0,False,https://m.tiktok.com/v/7084924456849706245.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084924456849706245&source=h5_m,12348484,1645,16192,5377,130531,7000790913404422918,7000790913404422918,72,7000790913404422918,original sound - kel_mua (Contains music from: God Rest Yee Merry Tim Smith - Lazar 111),"Contains music from: ""God Rest Yee Merry Tim Smith""",6.811933763204908e+18,Kelly,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7000791070732733189.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/60e75e8a0da3f1e6942c8c9bbca3111d.json,False,False,Lazar 111,God Rest Yee Merry Tim Smith,original sound - kel_mua (Contains music from: God Rest Yee Merry Tim Smith - Lazar 111),"Contains music from: ""God Rest Yee Merry Tim Smith""",[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
1,GB,7103134505367522565,1653827381, ,7004444562576114693,goodmovie68,,0,False,https://m.tiktok.com/v/7103134505367522565.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103134505367522565&source=h5_m,180812,6,17,56,3382,7103134490234522374,7103134490234522374,72,7103134490234522374,original sound - goodmovie68,goodmovie68,7.004444562576115e+18,goodmovie68,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103134483284609798.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
2,CA,7102885137716661509,1653769320, ,7028202751805178885,mm,,0,False,https://m.tiktok.com/v/7102885137716661509.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102885137716661509&source=h5_m,172906,42,23,134,5627,7102885126493129478,7102885126493129478,72,7102885126493129478,original sound - iim_.861,mm,7.028202751805179e+18,mm,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102885127147113221.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
3,AF,7087209130749889793,1650119466,#pubg 🥴😂😩,6631808432041148421,Sona Sadat,"𝖨'𝗅𝗅 𝗆𝖺𝗄𝖾 𝗒𝗈𝗎 𝗌𝗍𝗈𝗉 𝖺𝗇𝖽 𝗌𝗍𝖺𝗋𝖾 
𝖨𝖽 𝗉𝗎𝖻𝗀: 5594734343
👻",0,False,https://m.tiktok.com/v/7087209130749889793.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087209130749889793&source=h5_m,190661,281,251,44,15275,6921985903825095425,6921985903825095425,72,6921985903825095425,original sound - tiktokwatanii,TikTok Watani,6.724365262554547e+18,TikTok Watani,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6921985874099964673.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a43449dfb40efceeb974c921e5f7754a.json,False,False,,,,,[],0,0,Afghanistan,#pubg,0,0,0,0,0,0,0,0,0,0
4,SE,7085947393635650818,1649825695,#медицинский #медицина #мед #медик #медики #студентмедик#красгму  #учебавмеде #акушерство #гинекология #медикишутят #медикипоймут #медикитиктока #рек,6556893669395660806,Роза С Мороза,"Студентка меда
Вечно учусь, треню и мечтаю
Больше обо мне в инстаграме",0,False,https://m.tiktok.com/v/7085947393635650818.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085947393635650818&source=h5_m,9732760,2342,3884,8182,317763,7085947368411122433,7085947368411122433,24,7085947368411122433,original sound - roza_smorozaa (Contains music from: Мы открываем бизнес (Skit) - SHOOVAL),"Contains music from: ""Мы открываем бизнес (Skit)""",6.556893669395661e+18,Роза С Мороза,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7085947381899971330.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c0098d8a9d637c4c0d8b3b04901bfb93.json,False,False,SHOOVAL,Мы открываем бизнес (Skit),original sound - roza_smorozaa (Contains music from: Мы открываем бизнес (Skit) - SHOOVAL),"Contains music from: ""Мы открываем бизнес (Skit)""",[],0,0,Afghanistan,#медицинский #медицина #мед #медик #медики #студентмедик#красгму #учебавмеде #акушерство #гинекология #медикишутят #медикипоймут #медикитиктока #рек,0,0,0,0,0,0,0,0,0,0
5,ES,7103209458540514565,1653844832,©️ @marcelotwelve 🏆 Benzema🔔 #CHAMP14NS | #CAMPEON35,6693776501107033094,Real Madrid C.F.,"⚽️ The official Real Madrid C.F. account
🏆 14 times European Champions",0,False,https://m.tiktok.com/v/7103209458540514565.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103209458540514565&source=h5_m,6463989,2267,6273,39322,661147,7103209451725130501,7103209451725130501,72,7103209451725130501,original sound - realmadrid,Real Madrid C.F.,6.693776501107033e+18,Real Madrid C.F.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103209458482891526.mp3,,False,False,,,,,[],0,0,Afghanistan,#CHAMP14NS #CAMPEON35,0,0,0,0,0,0,0,0,0,0
6,AF,7098340766673538306,1652711251,#fypシ #foryou #foryoupage #🥀🖤,6853455037809935365,🇦🇫A_B OFICIAL.COM❤️,Thanks for support 100k🥰🥰😍🇦🇫🇦🇫,0,False,https://m.tiktok.com/v/7098340766673538306.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098340766673538306&source=h5_m,67592,41,29,557,7696,7080075575364274971,7080075575364274971,72,7080075575364274971,original sound - ameri____7 (Contains music from: Tu Jaan Le - Dev Kohli),"Contains music from: ""Tu Jaan Le""",6.912107053139101e+18,👑̶«̶ا̶م̶ی̶ر̶ی̶» 👑,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7080075573389331227.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fc1abe48a7124316e5684ff623b0ebec.json,False,False,Dev Kohli,Tu Jaan Le,original sound - ameri____7 (Contains music from: Tu Jaan Le - Dev Kohli),"Contains music from: ""Tu Jaan Le""",[],0,0,Afghanistan,#fypシ #foryou #foryoupage #🥀🖤,0,0,1,1,0,0,1,0,0,0
7,DE,7095831185783311621,1652126944,@b_2_i_0_b_0_a_1_h,6591390607188426758,rezaeer,,0,False,https://m.tiktok.com/v/7095831185783311621.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095831185783311621&source=h5_m,190447,0,13,21,1474,7095831167186471686,7095831167186471686,72,7095831167186471686,original sound - rezaeer,rezaeer,6.591390607188427e+18,rezaeer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095831180813126406.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
0,AF,7101827882942614786,1653523171,"love you guys ,like ,comment share #viral #esmatullah #foryou #afghan_khan_official #foryou #afghani #afghantiktok #afghanboy #afghanistan #afghan #share #comment #like",6828022654521656325,king EQ,𝑰 𝑨𝑴 𝑵𝑶𝑻 𝑨𝑭𝑹𝑨𝑰𝑫 𝑻𝑶 𝑾𝑨𝑳𝑲 𝑻𝑯𝑰𝑺 𝑾𝑶𝑹𝑳𝑫 𝑨𝑳𝑶𝑵𝑬 🌍,0,False,https://www.tiktok.com/@esmatullahqani16/video/7101827882942614786?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101827882942614786&source=h5_m,305,6,6,1,47,7101827876613360385,7101827876613360385,72,7101827876613360385,original sound - esmatullahqani16,king EQ,6.828022654521656e+18,king EQ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101827817553300225.mp3,,False,False,,,,,[],0,0,Afghanistan,#viral #esmatullah #foryou #afghan_khan_official #foryou #afghani #afghantiktok #afghanboy #afghanistan #afghan #share #comment #like,1,1,2,0,0,0,0,0,1,0
1,AF,7090643055623097602,1650918988,⚠️just training⚠️#omid_sf #NDS #09 #unit #01 #unit #kunduz #afghanistan🇦🇫 #🖤❤💚,6878584596998603782,🖤❤💚Afghanistan Ex_Army🖤❤💚,🇦🇫Afg_Forces_ok🇦🇫,0,False,https://www.tiktok.com/@afg.forces.ok/video/7090643055623097602?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090643055623097602&source=h5_m,34335,4,13,11,1219,7048330992989457158,7048330992989457158,72,7048330992989457158,original sound - malik.popal,official〰️popal,7.012351496579007e+18,official〰️popal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7048331010387217157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/183a7937b9cae87fb0ca88b38c9c79d7.json,False,False,,,,,[],0,0,Afghanistan,#omid_sf #NDS #09 #unit #01 #unit #kunduz #afghanistan🇦🇫 #🖤❤💚,0,1,0,0,0,0,0,0,0,0
