,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author
0,AR,7086655306658221318,1649990519,como el duko no le metennnnn,6789374938136069126,Emilia Mernes,Artista,Verified account,0,False,https://www.tiktok.com/@emiliamernes/video/7086655306658221318?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086655306658221318&source=h5_m,22351801,11063,93384,54034,2907308,7080914949886707714,7080914949886707714,10033,7080914949886707714,Si Quieren Frontear,DUKI & De La Ghetto & Quevedo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f0c29bda56a84381ad9bb83c0fce1fc8,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a0fe3366e19340028d92668fe514d272,True,True,[],0,0,,,,
1,AR,7103309870639713541,1653868212,marti lo dio TODO @Lourdes @Marti Benza,6791560826488538118,Selena Mosca,"seguime y suscribite👆🏼
le pongo onda
Ig: @selemosca YouTube: Sele Mosca",,0,False,https://www.tiktok.com/@selemosca/video/7103309870639713541?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103309870639713541&source=h5_m,149606,265,72,294,34923,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,,,,
2,AR,7095935610497600774,1652151259,Cuánto cobras?🤣 ig:danelikstar #parati,6805133215566316549,Danelik Star,"⬆️En Insta estoy siempre⬆️ 
⬇️❤️Seguime es gratis🙏❤️⬇️
🇦🇷Tucu-Star 🇦🇷
⬇️😱",,0,False,https://www.tiktok.com/@danelik.star/video/7095935610497600774?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095935610497600774&source=h5_m,5192533,7688,10666,13684,755540,7095935589320526597,7095935589320526597,72,7095935589320526597,original sound - danelik.star,Danelik Star,6805133215566316549,Danelik Star,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095935586019707654.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/baaa5560058b3db5f7bada5cafbb1cec.json,False,False,[],0,0,,,,
3,AR,7102999123208490246,1653795862,#rusherking #chinasuarez #podemoshablar #ezzetv,6983687118380860422,ezzetv,🤚SUSCRIBITE  A YOUTUBE🤚,,0,False,https://www.tiktok.com/@ezzetv/video/7102999123208490246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102999123208490246&source=h5_m,2199376,1734,6186,3603,214140,7102999086726515462,7102999086726515462,72,7102999086726515462,original sound - ezzetv,ezzetv,6983687118380860422,ezzetv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102999080091060997.mp3,,False,False,[],0,0,,,,
4,AZ,7096933040881978626,1652383489,,7075005803564155910,luna_fnaf,,,0,False,https://www.tiktok.com/@luna_fnaf3/video/7096933040881978626?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096933040881978626&source=h5_m,41060091,42517,63247,144407,6058876,7093874924004346630,7093874924004346630,72,7093874924004346630,original sound - qws.ssanya,qws,7037527349030142981,qws,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093874939413007109.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/399abe74d8341a20a3c1bbf709d26c8f.json,False,False,[],0,0,,,,
5,AR,7096989872707210502,1652396722,Tamo chelo 😎😂 ig: Pablitocastilloo,6806539500418171909,pablitocastilloo,"HOLAAAAAA 🤩
Soy vos o tu amig@ en un tiktok 💁🏽‍♀️🤍🙋🏽‍♂️",Verified account,0,False,https://www.tiktok.com/@pablitocastilloo/video/7096989872707210502?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096989872707210502&source=h5_m,1908081,1030,4293,6937,249386,7094221772307909382,7094221772307909382,72,7094221772307909382,original sound - chiarademarchi__,CHIAR,6836538136337941509,CHIAR,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094221745275964166.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/416942058d935860c82f6d3700241df2.json,False,False,[],0,0,,,,
6,US,7077220171026320682,1647793728,Rocky wants to know why he can’t find a home. Can you help him? #SeeHerGreatness #OscarsAtHome #shelterdog #dogs,6722567958696920070,HSHC,"❤️ Saving Lives.
🐾 Educating Communities. 
🐶🐱 Completing Families.",,0,False,https://www.tiktok.com/@hamiltonhumane/video/7077220171026320682?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077220171026320682&source=h5_m,44903243,105765,87855,37866,6257654,6822024714446178305,6822024714446178305,10033,6822024714446178305,Lights Are On,Tom Rosenthal,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c520d1f1e45a4e6e84aabb1b12eba7b5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/17d6a818b7e1408e81fdcb3b8415d26d,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1434371804', 'external_song_key': 'apple_song_id'}]",0,0,,,,
7,SI,7094588768513969414,1651837672,oh she was upset upset😂 #foryoupage #meganfox #mgk #goviral #meganfoxmgk #fyp,6882437282248524802,modelshow,"🤍u look lost, follow me🤍",,0,False,https://www.tiktok.com/@angelic_clips/video/7094588768513969414?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094588768513969414&source=h5_m,19848988,6984,6938,6052,1591852,6921490873293211649,6921490873293211649,10033,6921490873293211649,She Knows,J. Cole,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/972ca2e197e24f8a9abe630560de2bda,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c3c471c38c2847f494712dbe3b52df63,False,True,[],0,0,,,,
0,AR,7097387785996307717,1652489369,nadie los sin novia,6787968022940140550,nicolascortez,"Bailarin 
🇦🇷",,0,False,https://m.tiktok.com/v/7097387785996307717.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097387785996307717&source=h5_m,20227570,25052,61038,202992,3570736,7097387760230681350,7097387760230681350,72,7097387760230681350,original sound - nicocortez_,nicolascortez,6787968022940140550,nicolascortez,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097387751230425861.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f990005a7b9b06418e4e4bee0b81529e.json,False,False,[],0,0,,,,
1,AR,7098783968450972933,1652814442,Debe hacerse lo necesario para que nadie gane 🤷🏻‍♂️ /Ig: losariasbrothers/ #humor #hermanos #casero #majul #UNO #complot #foryou #parati #enojo,6772220531904676869,Los Arias,"Igs: @sebaa_ariass @santiago.arias.1
📥 : losariasbrothers@gmail.com
🏁: 2M",,0,False,https://m.tiktok.com/v/7098783968450972933.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098783968450972933&source=h5_m,4205855,3043,19760,50414,753889,7094800358844779269,7094800358844779269,72,7094800358844779269,original sound - juancardozo51,Juan Cardozo,6834328007851721734,Juan Cardozo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094800383029431045.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fc16b6f38a8bcec1d01421658381bf83.json,False,False,[],0,0,,,,
2,AR,7090681407038688517,1650927918,Extracción de quiste sebáceo #quiste #quistesebaceo #extraccionpuntosnegros #puntosnegros #puntosnegrosgigantes,144439464633704448,BL Estetica,"Soy dermatocosmiatra pero hago videos random
Instagram: @bl.esteticaintegral",,0,False,https://m.tiktok.com/v/7090681407038688517.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090681407038688517&source=h5_m,13500073,1500,4002,2756,449687,6722656094272883458,6722656094272883458,25,6722656094272883458,She Share Story (for Vlog),山口夕依,6647470909311959041,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/829b4c8a915947b6b922214c6608832c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a18e9d70dbb048a9a4cf982292ee5134,True,True,[],0,0,,,,
