,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,US,7103167325985099014,1653835022,Reply to @david_robles08,7085683726361871365,yitedtyh,"My official shop 🌍
Click in 👇🏻👇🏻👇🏻👇🏻👇🏻",,0,False,https://www.tiktok.com/@yitedtyh/video/7103167325985099014?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103167325985099014&source=h5_m,138373,129,17,67,4692,7.09165281609956e+18,7091652816099560198,72.0,7091652816099560198,original sound - freeze.raze,Freeze,7017737846543303686,Freeze,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091652815990442757.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b849b63800f9b996828f94826f10180f.json,False,False,HRRTZ,Why Don't U Dance With Me,original sound - freeze.raze (Contains music from: Why Don't U Dance With Me - HRRTZ),"Contains music from: ""Why Don't U Dance With Me""",[],0.0,0
1,US,7101685257547599105,1653489951,#fyp #fypシ #fakebody⚠️,6705993644383405062,Sky,"your favorite latina 💕
SP!CY L!NK on my insta 🌶🔗 @shantskyxo",Verified account,0,False,https://www.tiktok.com/@skyshantal/video/7101685257547599105?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101685257547599105&source=h5_m,767525,565,574,592,32866,6.811968697339579e+18,6811968697339579141,72.0,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6601044405204779014,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0.0,0
2,US,7087673115207060779,1650227494,My parents are tired of me hahaha,26880250,Lexi Rivera,Lexi Rivera,Popular creator,0,False,https://www.tiktok.com/@lexibrookerivera/video/7087673115207060779?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087673115207060779&source=h5_m,16468657,8517,3902,13119,1576957,7.063008678978457e+18,7063008678978456367,72.0,7063008678978456367,La mama de la mama,𝔧 ❦,7055444277678670894,𝔧 ❦,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7063008812168629038.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7bae7784d990f3021b9f9410bd4d3fa9.json,False,False,Sterium,Move Your Feet,La mama de la mama (Contains music from: Move Your Feet - Sterium),"Contains music from: ""Move Your Feet""",[],0.0,0
3,TR,7095412500325272833,1652029461,Some old important conversations…,6877189868674909189,buseburcakart,insta: @buseburcakart,,0,False,https://www.tiktok.com/@buseburcakart/video/7095412500325272833?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095412500325272833&source=h5_m,19153143,3838,12115,186,2906423,7.016918135781576e+18,7016918135781575430,72.0,7016918135781575430,original sound - scscreations,SCS Creations,6826598036233421830,SCS Creations,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7016918274122271494.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a0cde0bda2d786eefab0eb6941b0e203.json,False,False,Andy Bankx,Tony and Ezekiel - Andy Bankx Mix,original sound - scscreations (Contains music from: Tony and Ezekiel - Andy Bankx Mix - Andy Bankx),"Contains music from: ""Tony and Ezekiel - Andy Bankx Mix""",[],0.0,0
4,US,7075048144882388270,1647288014,"So grateful for this life💗 D.R.E.A.M. The Tour has officially come to an end after 3 years, 132 concerts, 3 continents, and over 750,000 tickets sold🥺🙏🏼",123036,JoJo Siwa,Hi TikTok!,Popular creator,0,False,https://www.tiktok.com/@itsjojosiwa/video/7075048144882388270?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075048144882388270&source=h5_m,34853918,9145,2813,4106,4276240,7.070678030062013e+18,7070678030062013226,72.0,7070678030062013226,BRENT MORGAN What Dreams Are Made Of,Brent Morgan,243166123461070848,Brent Morgan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7070678059686578990.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a168c4384903af1e48f3f1e30065a863.json,False,False,Hilary Duff,What Dreams Are Made Of,BRENT MORGAN What Dreams Are Made Of (Contains music from: What Dreams Are Made Of - Hilary Duff),"Contains music from: ""What Dreams Are Made Of""",[],0.0,0
5,US,7101755179871128874,1653506230,good luck to the rest of y’all though! 😈 😂 #crownlake @symonneharrisonofficial @nickbencivengo,218654793462935552,Brat TV,CROWN LAKE S3 EP. 1 👑 ⬇️,,2,False,https://www.tiktok.com/@brat/video/7101755179871128874?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101755179871128874&source=h5_m,119307,139,8,30,13700,7.042549613714394e+18,7042549613714393903,72.0,7042549613714393903,everyone stream Carly Rae Jepsens Dedicated album,Jaden Damelio,6702064810123494405,Jaden Damelio,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7042549678730218287.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/276ab191bbc25b92d83504226d4194e4.json,False,False,,,,,[],0.0,0
6,US,7080548321785433386,1648568625,i love my short queens💅💛 @lexihensler @Lexi Rivera,6684023269617665030,Pierson,I WENT TO THE BILLBOARD MUSIC AWARDS!👇,Popular creator,0,False,https://www.tiktok.com/@pierson/video/7080548321785433386?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080548321785433386&source=h5_m,9257350,10038,5927,7019,1197321,7.077219669014253e+18,7077219669014252289,24.0,7077219669014252289,original sound - wwwwww.b_d,wwwwww.b_d,6600368560434200581,wwwwww.b_d,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7077219655500499713.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b3c3f9ae29a973e335e38187dc9b4f2.json,False,False,Legacy Hits,Line Out,original sound - wwwwww.b_d (Contains music from: Line Out - Legacy Hits),"Contains music from: ""Line Out""",[],0.0,0
7,TW,7102450538670722331,1653668131,唉 破平板都擦不乾淨,6976525358958904322,別偷看點贊😗,看到一對情侶打一對看到一堆情侶打一堆,,0,False,https://www.tiktok.com/@kevin_xin/video/7102450538670722331?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102450538670722331&source=h5_m,148728,335,64,64,7001,7.015485739261545e+18,7015485739261545243,24.0,7015485739261545243,original sound - lian0725,雨林光頭哥,66327817605,雨林光頭哥,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7015485684395920154.mp3,,False,False,,,,,[],0.0,0
0,US,7101489106194304302,1653444280,my dog in the background 🖤🐶,6783394964295713797,♥️Piper Rockelle♠️,"♥️🫖 TEA PARTY 🫖 ♠️ 
out MAY 13",Verified account,0,False,https://www.tiktok.com/@piperrockelle/video/7101489106194304302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101489106194304302&source=h5_m,2718897,34590,6396,5652,317391,7.072756285149564e+18,7072756285149563649,24.0,7072756285149563649,original sound - willson_samp,aypiks,6976755863927686145,aypiks,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0.0,0
1,TW,7102867738338594090,1653765268,#找個男閨蜜 我想有一個男閨蜜，可以一起分享互相的秘密，做彼此的後盾，無聊了可以義無反顧的陪你，會為彼此打抱不平。,7087446053295604782,魚兒,"找個男閨蜜
一起喝酒一起嗨~
🍭 ➕Line：pa5211",,0,False,https://www.tiktok.com/@rfdufkratuyhqbsv970/video/7102867738338594090?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102867738338594090&source=h5_m,35995,73,73,177,8157,,,,,,,,,,,,,,,,,,,,,0
