,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,SA,7070887052916559106,1646319184,😭,6809539474466767878,💌,,,0,False,https://www.tiktok.com/@theycallmelauurrenn/video/7070887052916559106?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070887052916559106&source=h5_m,15114362,43236,133228,224108,3229548,7070887037548743425,7070887037548743425,72,7070887037548743425,original sound - theycallmelauurrenn,💌,6809539474466767878,💌,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7070887036928232194.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dd092d6925af465c84faeee02f5e053d.json,False,False,The Walters,I Love You So,original sound - theycallmelauurrenn (Contains music from: I Love You So - The Walters),"Contains music from: ""I Love You So""",[],0,0
1,BE,7098455240545946886,1652737905,,6733879514981762053,محمد لبد,"Filmaker📽️
Photographer
🇵🇸🇧🇪belguim
جلسات التصوير التواصل عالانستغرام",Verified account,0,False,https://www.tiktok.com/@mohammedloubad/video/7098455240545946886?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098455240545946886&source=h5_m,151230,77,56,215,8653,7063530397128280838,7063530397128280838,72,7063530397128280838,original sound - yasso_ng,Yassmina,6873173431379231746,Yassmina,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7063530408377666310.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a250a146d99abb46bc1f0dbb2ffd426e.json,False,False,Ali Loka,Matkhafesh Yamma,original sound - yasso_ng (Contains music from: Matkhafesh Yamma - Ali Loka),"Contains music from: ""Matkhafesh Yamma""",[],0,0
2,BE,7100602602815196421,1653237877,,6769170630634947590,Dominique Bar,,,0,False,https://www.tiktok.com/@miamid72/video/7100602602815196421?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100602602815196421&source=h5_m,6416697,134,356,739,55876,7075384079893777157,7075384079893777157,72,7075384079893777157,original sound - miamid72,Dominique Bar,6769170630634947590,Dominique Bar,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075384097288194821.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f826c63b91dac10595d26381996f705a.json,False,False,,,,,[],0,0
3,CA,7101700073481899269,1653493401,You Won’t Believe What He Found Out..😳,7085818867877200902,THE BRUNETTE GAL 🤍👼,"Sister of @theblondieboys 😇
✉️ contact@blastoffmedia.ca
⬇️ Link To The App ⬇️",,0,False,https://www.tiktok.com/@brunettegal3/video/7101700073481899269?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101700073481899269&source=h5_m,8258976,2569,700,486,568140,6861355060333398789,6861355060333398789,10036,6861355060333398789,Paris,Else,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a9badd4ae733461fa81094af5b8be665,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ef0a6d12a52940cfaa870f9315b74f92,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1461085630', 'external_song_key': 'apple_song_id'}]",0,0
4,US,7082545416050380074,1649033608,Baby steps but we are getting there❤️❤️old man Van  #feral #cat #socializing #firstpets,6765503165229351942,Maria Torres,"Rescuer n mom 
Official 501c3 
Vnmo maria-torres-107
Pp mariatorres0013@gmail",,0,False,https://www.tiktok.com/@lovenlight0013/video/7082545416050380074?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082545416050380074&source=h5_m,43658637,47971,51931,26599,9006284,6803056265065924609,6803056265065924609,10033,6803056265065924609,"Bundle of Joy (From ""Inside Out"")",Benny Martin,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8dad4aedd7a24b88bbacdb10bdc06d4b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/af3b70a911c74286b75acc415c84cace,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1208090576', 'external_song_key': 'apple_song_id'}]",0,0
5,CA,7102489409433472262,1653677183,,6860596321088750598,Al Wright,po box 21214 grande prairie co-op t8v6w7,,0,False,https://www.tiktok.com/@the_hurtun_alberton/video/7102489409433472262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102489409433472262&source=h5_m,380247,3549,455,118,39550,7090568578755316522,7090568578755316522,72,7090568578755316522,original sound - notdankfrankdrury,Dank 2.0,6852865266477696005,Dank 2.0,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7090568608950029102.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/9311b5cb0d125e15ecd2bc442657f29b.json,False,False,,,,,[],0,0
6,US,7101474177269615918,1653440804,Are hoarding more vegetables afraid to put bad? TRY!#food #foodhack #foodwaste #tip #usefullifetips #foryou #fyp #LearnOnTikTok #viral#trending #smusingwaste,7078965988095968302,SMusingwaste,"Welcome to my little shop, all selected products 50% off",,0,False,https://www.tiktok.com/@smusingwaste/video/7101474177269615918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101474177269615918&source=h5_m,12517412,1146,104878,138806,412462,7101474161729784622,7101474161729784622,72,7101474161729784622,original sound - smusingwaste,SMusingwaste,7078965988095968302,SMusingwaste,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7101474194709302059.mp3,,False,False,,,,,[],0,0
7,VN,7103146485834894619,1653830169,Biết nói gì đâyyy ạ 👋🏻👋🏻👋🏻 #beocasee #case #xuhuong,6671622462605131778,Beo.casee,Link sản phẩm bạn chọn dưới này nha 👇🏼👇🏼👇🏼,,0,False,https://www.tiktok.com/@beo.casee/video/7103146485834894619?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103146485834894619&source=h5_m,4537,5,1,2,107,7081996955123010330,7081996955123010330,24,7081996955123010330, Phi hành gia remix,✨ Hoàng Lan Anh ✨,7078651557789090818,✨ Hoàng Lan Anh ✨,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7081996971753458458.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/746bc453e1c37c65f2d528620d09be54.json,False,False,Sterium,Roses, Phi hành gia remix (Contains music from: Roses - Sterium),"Contains music from: ""Roses""",[],0,0
0,US,7099501414111628587,1652981485,Now the fun part… We go to work. #ManInBlack #BlackAdam⚡️ 10.21.22 ⚡️,6745191554350760966,The Rock,CEO of #RockTok,Verified account,0,False,https://www.tiktok.com/@therock/video/7099501414111628587?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099501414111628587&source=h5_m,18037372,18395,13288,14421,2609597,7099501338173721387,7099501338173721387,72,7099501338173721387,original sound - therock,The Rock,6745191554350760966,The Rock,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099501398320204590.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c167a52d4a04e50be0b5454f252615f4.json,False,False,The HU,Wolf Totem,original sound - therock (Contains music from: Wolf Totem - The HU),"Contains music from: ""Wolf Totem""",[],0,0
1,US,7099828240755313926,1653057582,Would you buy it ? 😅 #foryou #viral #foryoupage #comedy #funny,6964321809227629573,Simon Meyer,"🚀🎬
Filmmaker from Berlin. 
Making good stories out of the ordinary since 1994",,0,False,https://www.tiktok.com/@simon_meyer/video/7099828240755313926?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099828240755313926&source=h5_m,1395438,1790,3009,325,143946,7099828232198867718,7099828232198867718,72,7099828232198867718,original sound - simon_meyer,Simon Meyer,6964321809227629573,Simon Meyer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099828247407725317.mp3,,False,False,,,,,[],0,0
