,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,GM,7096168722485873926,1652205533,Just for fun 🥰😂#viral #gambiantiktok 😂😂😂😂😂,6731486486674834437,Tida Jobe,Follow me on my backup account 👇🏾 ❤️🇬🇲,,0,False,https://m.tiktok.com/v/7096168722485873926.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096168722485873926&source=h5_m,268751,774,518,5304,26101,7092158549031209733,7092158549031209733,72,7092158549031209733,original sound - itsjlivemusic_,JLive Music,6687723959277093894,JLive Music,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092158549266385670.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/94aaf5bf6e636a5f8f068a210290196d.json,False,False,,,,,[],0,0
1,GM,7101315601095757062,1653403884,😂 just went,6829524231061439493,S҉C҉O҉R҉P҉IO҉N҉,"Official tiktok 
Follow me on (Instagram) @iamjizzle_
(Snapchat) 👻 jay-jizzle1",,0,False,https://m.tiktok.com/v/7101315601095757062.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101315601095757062&source=h5_m,88368,95,30,427,9067,7101308587397384965,7101308587397384965,72,7101308587397384965,original sound - iamjizzle_,S҉C҉O҉R҉P҉IO҉N҉,6829524231061439493,S҉C҉O҉R҉P҉IO҉N҉,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101314820766534405.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/76658f0e61d54d550216a7a29fd5e915.json,False,False,,,,,[],0,0
2,GM,7101720512497339654,1653498160,,6791948323160687622,Agi Amy ❤️,,,0,False,https://m.tiktok.com/v/7101720512497339654.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101720512497339654&source=h5_m,76469,621,479,1439,3573,7101720535700818693,7101720535700818693,72,7101720535700818693,original sound - ajiamie31,Agi Amy ❤️,6791948323160687622,Agi Amy ❤️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101720525973588741.mp3,,False,False,,,,,[],0,0
3,GM,7101706591086365957,1653494919,Reply to @komsaykomsir #themainones #foryoupage #viral #tiktokgambia🇬🇲 #besties,7088789328671917062,The MAIN ONES,"Bestie’s that became sisters👭
Being weird is okay🤪
Muslims
Plz follow and like",,0,False,https://m.tiktok.com/v/7101706591086365957.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101706591086365957&source=h5_m,97235,214,30,211,5835,7101706589228370694,7101706589228370694,72,7101706589228370694,original sound - _themainones,The MAIN ONES,7088789328671917062,The MAIN ONES,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101706567703218949.mp3,,False,False,,,,,[],0,0
4,GM,7098428236048256262,1652731617,My baby my loyalty 🥰already miss you 🥺,7091637499541980165,user3218889735181,,,0,False,https://m.tiktok.com/v/7098428236048256262.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098428236048256262&source=h5_m,250208,60,100,1452,9620,7019481477235018502,7019481477235018502,72,7019481477235018502,original sound - oboycontehofficial,Oboy Worldwide,6891112221154690054,Oboy Worldwide,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7019481570230733574.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c8c9d112c4053906b513fcd99ce9e88f.json,False,False,Barhama,KAANO,original sound - oboycontehofficial (Contains music from: KAANO - Barhama),"Contains music from: ""KAANO""",[],0,0
5,GM,7101635176433749254,1653478292,The Gambia Armed Forces QRF3….#armedforces #traintoserve,6917959771471496197,Militaryjournalist,"Military Journalist
GAMBIA ARMED FORCES",,0,False,https://m.tiktok.com/v/7101635176433749254.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101635176433749254&source=h5_m,215597,200,685,186,16435,7080658775228549894,7080658775228549894,72,7080658775228549894,original sound - evaloucard,Eva loucard,6573637940232093702,Eva loucard,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080658773425064709.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/50dabd740abca5d7206a99d47248de49.json,False,False,,,,,[],0,0
6,IT,7102122491912473862,1653591753,Born to survive#fypage #fyp #viral,6781142511983182854,Rich Son,Rich son,,0,False,https://m.tiktok.com/v/7102122491912473862.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102122491912473862&source=h5_m,373594,613,157,1491,23912,7102122488256596741,7102122488256596741,72,7102122488256596741,original sound - richson42,Rich Son,6781142511983182854,Rich Son,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102122475034643206.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/576224f747ba3b7e36a43de6570bf907.json,False,False,Mavado,Fly Again,original sound - richson42 (Contains music from: Fly Again - Mavado),"Contains music from: ""Fly Again""",[],0,0
7,GM,7099233783412591877,1652919173,Reply to @truth03 so more for you. #idontcare #softlife #glowtobedifferent,6934318896615244805,Sainabou Mbye,Fashion Desingner & skincare guru. Previous account blocked. We ain’t giving up!,,0,False,https://m.tiktok.com/v/7099233783412591877.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099233783412591877&source=h5_m,134182,371,78,667,5807,7093266637859883782,7093266637859883782,72,7093266637859883782,original sound - faalaceesay,Faala Ceesay🌸,6814214260719027205,Faala Ceesay🌸,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093266626795080454.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ee804e476d89b20753dfeef91efb24c3.json,False,False,,,,,[],0,0
0,GM,7099517871302184197,1652985318,Y’all get ready the queen is here vivian ❤️‍🔥❤️‍🔥😭😭💛🧡 #vivianechidid #princeomzo #viral #senegalaise_tik_tok #gambiantiktok,6669441547833245702,Omar🤤,"God first 
🇺🇸🇬🇲
 Dm on IG for promos💰 
Y’all follow my IG
Pls get me 80k🥺",,0,False,https://www.tiktok.com/@princeomzo/video/7099517871302184197?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099517871302184197&source=h5_m,271848,276,270,123,24898,7078780067795143430,7078780067795143430,72,7078780067795143430,original sound - zane_a_la_prod,Zane A La Prod,6785641009541661701,Zane A La Prod,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078780073549056773.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d9e8722cc976dc24682057e5ac327fff.json,False,False,Wally B. Seck,Reguine tass,original sound - zane_a_la_prod (Contains music from: Reguine tass - Wally B. Seck),"Contains music from: ""Reguine tass""",[],0,0
1,GM,7099589141561756934,1653001913,i love myself❤️😘,7054944070548620294,Baebso642,,,0,False,https://www.tiktok.com/@baebso13/video/7099589141561756934?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099589141561756934&source=h5_m,145092,167,109,1082,5929,7044486401673168898,7044486401673168898,10033,7044486401673168898,WURUS - Version Afro,Wally B. Seck,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ce95b8197dea4e3ea9c69afebafb2b44,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b07394bfd3a94712930392dcfb0c50d6,False,True,,,,,[],0,0
