,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,GN,7098277652334726406,1652696559,🔥🔥🔥,6849595268976542726,Ans-T Crazy,"Bienvenu(e)s dans la Guida 🇬🇳
Compte TikTok officiel du Wakboss
#ELCREATOR",,0,False,https://m.tiktok.com/v/7098277652334726406.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098277652334726406&source=h5_m,82569,30,50,615,5693,7098277605769579270,7098277605769579270,72,7098277605769579270,original sound - anstcrazyofficiel,Ans-T Crazy,6849595268976542726,Ans-T Crazy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098277618398677765.mp3,,False,False,,,,,[],0,0
1,GN,7097956082496195845,1652621691,L’argent ohhhh god😥,6908744754469848070,Sy,Vivre le bonheur ❤️,,0,False,https://m.tiktok.com/v/7097956082496195845.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097956082496195845&source=h5_m,118418,105,151,1026,4860,7093653481197685510,7093653481197685510,72,7093653481197685510,original sound - rocxykev,Tik Toker,7030909870291895302,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093653485069110021.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e9fa66880ebb4ab94c697eedf01ec037.json,False,False,,,,,[],0,0
2,GN,7096145043815206150,1652200020,😂😂,7021201370490668037,Fantaaaa💜🦋💍,"Insta:fantasangare9🥵
Objectif 10k🥺🙏🏿
*Tiktok guinée *🇬🇳❤️",,0,False,https://m.tiktok.com/v/7096145043815206150.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096145043815206150&source=h5_m,871844,687,679,8439,24700,7077318103139093253,7077318103139093253,72,7077318103139093253,original sound - ya_madoo,Domaze,6897245371539932161,Domaze,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7077318121472543494.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f5f8796d06dff4af40cd6e38ef4e77f.json,False,False,Gaz Mawete,500 - Speed Up,original sound - ya_madoo (Contains music from: 500 - Speed Up - Gaz Mawete),"Contains music from: ""500 - Speed Up""",[],0,0
3,CA,7101003266644790534,1653331163,Ce filtre 😍#tiktokcanada🇨🇦 #tiktokmali🇲🇱223 #viral,6961386738997969925,adamabalde265,"Passionnée de Mode
Puisque t’es là abonne toi🥰
Insta: adama_b",,0,False,https://m.tiktok.com/v/7101003266644790534.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101003266644790534&source=h5_m,70289,45,13,169,5267,7050948950664612613,7050948950664612613,72,7050948950664612613,original sound - citationlavieetlamour,citationlavieetlamour,7030870335847367685,citationlavieetlamour,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7050948971946756869.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/302e068a56d217fd6f90e08ee26ff753.json,False,False,Dj Robot & Dj Robot,Musso massa - Dj Robot,original sound - citationlavieetlamour (Contains music from: Musso massa - Dj Robot - Dj Robot & Dj Robot),"Contains music from: ""Musso massa - Dj Robot""",[],0,0
4,GN,7101512627179801862,1653449761,,6727038654987387910,Aissatou de Mariame,,,0,False,https://m.tiktok.com/v/7101512627179801862.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101512627179801862&source=h5_m,180072,0,123,8,10623,7073914506053094149,7073914506053094149,72,7073914506053094149,original sound - thiirdseenoevil,Thiird officiel,188931144506384384,Thiird officiel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073914514839702278.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4abfe5bf157d19bef09dd475c8fcc177.json,False,False,Thiird,Journal,original sound - thiirdseenoevil (Contains music from: Journal - Thiird),"Contains music from: ""Journal""",[],0,0
5,GN,7076104261469211910,1647533910,@djaniialfa #ChefRebel #trucage #amkoulel #Guinée #rap #pourtoi #djeila,6981250423994958854,djeilasicario,,,0,False,https://m.tiktok.com/v/7076104261469211910.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076104261469211910&source=h5_m,224665,102,173,3208,13651,7076104233006680837,7076104233006680837,72,7076104233006680837,original sound - djeilasicario,djeilasicario,6981250423994958854,djeilasicario,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076104256557697798.mp3,,False,False,,,,,[],0,0
6,FR,7103506204164443397,1653913926,,7102066756554654726,Hawa,,,0,False,https://m.tiktok.com/v/7103506204164443397.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103506204164443397&source=h5_m,61321,23,11,8,2991,7010119913399158785,7010119913399158785,10033,7010119913399158785,Bouramaya,Mousto Camara,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/eb7269a022bf4b96bd29203f6961381a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e7f6a7ed65104e86a35e00d7ac0f3f0a,False,True,,,,,[],0,0
7,US,7070477075353816325,1646223730,@iphon 12simpl 256g 64g disponible #carrefour  Bissnes Groupe #,6915905403415774214,@carrefour bissnes groupe📲,Carrefour Bissnes Groupe 773370404 777921111 777921147 777030829 Oiust foir 🙏,,0,False,https://m.tiktok.com/v/7070477075353816325.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070477075353816325&source=h5_m,1877677,557,690,8275,45100,7070477028650273541,7070477028650273541,72,7070477028650273541,original sound - carrefourbisnessgroupe,@carrefour bissnes groupe📲,6915905403415774214,@carrefour bissnes groupe📲,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070477048354982661.mp3,,False,False,,,,,[],0,0
0,GN,7103612454009081094,1653938662,#fyp #tiktokfrance🇨🇵  jamais wesh menteur vas 👋🥱,6938525039353693190,Bad girl 🖤,"Abonne toi😇
Guinéenne 🇬🇳 Coréenne 🇰🇷❤️
Insta: itz_assia_",,0,False,https://www.tiktok.com/@iamassia_99/video/7103612454009081094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103612454009081094&source=h5_m,1064,2,0,0,102,7092712534100626182,7092712534100626182,72,7092712534100626182,original sound - aryaxsub,⁉️ ARYA ⁉️,6983684216546591749,⁉️ ARYA ⁉️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092712569042897670.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/43d202b8bae5a9850d9fefb503eb739c.json,False,False,Young Nudy,Hell Shell,original sound - aryaxsub (Contains music from: Hell Shell - Young Nudy),"Contains music from: ""Hell Shell""",[],0,0
1,GN,7073500445691481350,1646927663,,6714336190893949957,Aïssatoulamarana,"Abonne toi 🙏🏾
🇬🇳 ❤️",,0,False,https://www.tiktok.com/@trini_djuna/video/7073500445691481350?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073500445691481350&source=h5_m,232823,85,182,3092,13800,7047204305329376006,7047204305329376006,72,7047204305329376006,original sound - abdoulsalamdiassy1,abdoulsalamdiassy12,6961479349485487109,abdoulsalamdiassy12,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7047204312967744261.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1b1b447d6043d05b1a9ced0ad0d2fef0.json,False,False,Tombolia Foté,Abombho Naki,original sound - abdoulsalamdiassy1 (Contains music from: Abombho Naki - Tombolia Foté),"Contains music from: ""Abombho Naki""",[],0,0
