,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,US,7103637547519249710,1653944503,Laundry day ft. the sock thief #fyp #tomsdiner #suzannevega #acoustic #cover #independentartist @AnnenMayKantereit @Giant Rooks,6746214053527782405,Gabi,"22 yrs old
Singer/Songwriter
Insta: @gabisklar",,0,False,https://www.tiktok.com/@gabisklar/video/7103637547519249710?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103637547519249710&source=h5_m,3312978,1163,1871,89,472673,7103637512844872490,7103637512844872490,72,7103637512844872490,original sound - gabisklar,Gabi,6746214053527782405,Gabi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103637544708885294.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/805d86a0fabd3ddb9186f2c8111ef1de.json,False,False,,,,,[],0,0
1,PL,7104364665081318661,1654113801,"that's it guys, I went to pour myself a MEGA PINT OF 🍷😅🔥",7098355200033129477,JUSTICE FOR JOHNNY DEPP💫❤️‍🩹,"*TEAM JOHNNY D.*

/🫙Where is my jar of dirt?🤨/

“justice for Johnny Depp!”✨",,0,False,https://www.tiktok.com/@depp_vasquez/video/7104364665081318661?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7104364665081318661&source=h5_m,4832492,1475,8020,14246,484245,6891415567417231361,6891415567417231361,10033,6891415567417231361,Pirates Of The Caribbean - Main Theme - He's A Pirate,Geek Music,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dd9c18943c4046f2a2a37db0e5244dc0,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a9204ae9dc8e4e7fb921f5153b7a8fc7,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1171882302', 'external_song_key': 'apple_song_id'}]",0,0
2,CH,7103615475489230086,1653939366,🤣🤣🤣🤣🤣🤣,6771475169183089669,nicocapone.comedy,"Instagram @Nicocapone.comedy 
nicocapone_26@hotmail.com",Verified account,0,False,https://www.tiktok.com/@nicocaponecomedy/video/7103615475489230086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103615475489230086&source=h5_m,19169830,11124,121347,63483,1385179,7103615472515517189,7103615472515517189,72,7103615472515517189,original sound - nicocaponecomedy,nicocapone.comedy,6771475169183089669,nicocapone.comedy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103615471345666822.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/964cc852b617034bb9f1bc56a3af8e87.json,False,False,Fuchsia Boom Band,"Earned It  (From ""Fifty Shades of Grey"")","original sound - nicocaponecomedy (Contains music from: Earned It  (From ""Fifty Shades of Grey"") - Fuchsia Boom Band)","Contains music from: ""Earned It  (From ""Fifty Shades of Grey"")""",[],0,0
3,HU,7104586251084320005,1654165395,HIHETETLEN A VÉGEREDMÉNY 😳😱,5665939,Ton,"YOUTUBE : WhisperTon 
INSTA: whisper_ton 
🌈 Safe place for everyone 🌈",Popular creator,0,False,https://www.tiktok.com/@whisperton/video/7104586251084320005?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7104586251084320005&source=h5_m,301870,203,139,2,52494,7104586248479935238,7104586248479935238,72,7104586248479935238,original sound - whisperton,Ton,5665939,Ton,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7104586238715316997.mp3,,False,False,,,,,[],0,0
4,HU,7102923173057891590,1653778177,"#duet with @sanderbarna Oké, ez jó volt.",6923696493426246661,nagymartonfmm,,,0,False,https://www.tiktok.com/@nagymartonfmm/video/7102923173057891590?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102923173057891590&source=h5_m,314217,89,463,1069,44759,7102404631044901638,7102404631044901638,72,7102404631044901638,original sound - sanderbarna,Barna,6801148497041245190,Barna,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102404620227447558.mp3,,False,False,,,,,[],0,0
5,HU,7097655938680671493,1652551802,"Jól látjátok, nem tudok nyakkendőt kötni. 🤌🏼👔 credit: @Matt Leach #pilots #announcement #airplane",110465582357000192,Vivien Sápi,"HOGY MIII?! ✨
GLAMOUR Women of the Year 2022 🤩
NYERJ VELEM TANDEMUGRÁST!🪂⬇️",Verified account,0,False,https://www.tiktok.com/@viviensapi/video/7097655938680671493?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097655938680671493&source=h5_m,1001572,515,1475,1139,105891,7088731457585154858,7088731457585154858,72,7088731457585154858,original sound - weathermatt21,Matt Leach,6954923015734690822,Matt Leach,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7088731496609041198.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/755a40d21c398265abc1294daef8b2f7.json,False,False,,,,,[],0,0
6,HU,7077994373006347525,1647973987,Mért vagy itt?😅 Youtube:PartyShakers #youtube  #debrecen  #partyshakers  #nekedbe  #foryou  #buli  #party  #orult  #latinparty,6739870574840923141,partyshakers,"Youtube: partyshakers
Instagram: partyshakersshow
Facebook: partyshakersshow",,0,False,https://www.tiktok.com/@partyshakersshow/video/7077994373006347525?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077994373006347525&source=h5_m,1334814,422,731,969,109331,7077994358728952582,7077994358728952582,72,7077994358728952582,original sound - partyshakersshow,partyshakers,6739870574840923141,partyshakers,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7077994355566725893.mp3,,False,False,,,,,[],0,0
7,FR,7104641795660860678,1654178326,"did you know the title was ""se acabo""?#noinstrument #berywam #pourtoi #beatbox",6768446188661359622,Berywam,"🇫🇷BEATBOX 
🏆 WORLD CHAMPS
📩 berywam@gmail.com
💿 Album NO INSTRUMENT 👇🏼",Verified account,0,False,https://www.tiktok.com/@berywambeatbox/video/7104641795660860678?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7104641795660860678&source=h5_m,2401819,1178,1656,156,329196,7104641773342935814,7104641773342935814,72,7104641773342935814,original sound - berywambeatbox,Berywam,6768446188661359622,Berywam,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7104641778682252037.mp3,,False,False,,,,,[],0,0
0,US,7092850697728724267,1651432994,Pay back🤣😭,6740372348631942150,TheRealHammyTV,The couple that everyone else copy’s😉 best on Tiktok voted 2022 🚀,Verified account,0,False,https://www.tiktok.com/@therealhammytv/video/7092850697728724267?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092850697728724267&source=h5_m,34246668,21994,194275,77092,1907740,7030869625311086594,7030869625311086594,10033,7030869625311086594,Sunroof,Nicky Youre & dazy,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c8896cc38afa4760bff0887ac7d072b1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a118c1899d5b40d1a5c6c65c307b0e2d,True,True,,,,,[],0,0
1,US,7103971183556562219,1654022184,"#greenscreen but in a cool way, ps should i get my nose Re-pierced #FrunktheBeat #TopGunMode #SearchForWonderMom",88826999229562880,Jentz :),"swag
#ihaveabfnamedchristian
the scar is from a ninja",,0,False,https://www.tiktok.com/@jentrimaren/video/7103971183556562219?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103971183556562219&source=h5_m,20943139,29671,4592,2788,2863463,7089552577695599365,7089552577695599365,72,7089552577695599365,original sound - usuyo,Usuyo uwu,6727479321209979910,Usuyo uwu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089552570565413638.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/76d9118cef9b5b1932eb758f585128b0.json,False,False,Engelbert Humperdinck,A Man Without Love,original sound - usuyo (Contains music from: A Man Without Love - Engelbert Humperdinck),"Contains music from: ""A Man Without Love""",[],0,0
