,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,JP,7077822368177065218,1647933939,😂,6557999606692954114,三上悠亜,"三上悠亜です🍑
Twitter、Instagram、YouTubeもよろしくね😽",認証済みアカウント,0,False,https://www.tiktok.com/@yua_mikami/video/7077822368177065218?_r=1&u_code=0&region=US&mid=6981732667649755906&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077822368177065218&source=h5_t,17055036,7990,7068,7693,537338,6981732667649755906,6981732667649755906,10036,6981732667649755906,Earth Defense Force,Emetsound,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dd5417b94ab7451890e23bea1ce433c4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7d738524cf6d4e3a95b6b9c7f52a47c9,False,True,,,,,[],0,0
1,JP,7071826592779062530,1646537940,好きな人に転送して，この夏、一緒に海を見に行きましょう🥰#風景 #海 #夏 #japan #sea,6528773224262696961,naokimc_1206,"🗼Live in Tokyo
音楽、旅行、撮影、アニメが好きです。
すべての動画は携帯で撮影しました📹
日本人と友達になりたい🙆‍♂️
抖音：東京小超人",,0,False,https://www.tiktok.com/@naokimc/video/7071826592779062530?_r=1&u_code=0&region=US&mid=7071826551179922178&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071826592779062530&source=h5_t,4388226,5444,12572,16104,412791,7071826551179922178,7071826551179922178,24,7071826551179922178,original sound - naokimc_1206,naokimc_1206,6528773224262696961,naokimc_1206,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7071826562568047362.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/27b837f8c8d355198f73c412c4c5a954.json,False,False,,,,,[],0,0
2,US,7073586352129985835,1646947664,Nice otter bro,127311824642822144,Nick Smithyman 🤓,"Follow Insta & YouTube⤴️
biz: NickSmithyMgmt@outlook.com
⬇️ NEW YOUTUBE VIDEO ⬇️",Popular creator,0,False,https://www.tiktok.com/@itsmenicksmithy/video/7073586352129985835?_r=1&u_code=0&region=US&mid=7067960266503490351&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073586352129985835&source=h5_t,11186125,8441,4360,9010,1349510,7067960266503490351,7067960266503490351,72,7067960266503490351,original sound - Alexa Harding,Alexa Harding,6748216862935155717,Alexa Harding,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7067960279946070830.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/cd9e889ffa3f89cf1b2bb572566c4318.json,False,False,,,,,[],0,0
3,KR,7090509825561349377,1650887968,📷 ZOOM IN ZOOM OUT  #ATEEZ #에이티즈 #성화 #SEONGHWA #산 #SAN #제시 #JESSIE #ZOOMCHALLENGE #ZOOMINZOOMOUTCHALLENGE,6768988370171741186,ATEEZ_Official,ATEEZ(에이티즈) Official TikTok,가수 ATEEZ,0,False,https://www.tiktok.com/@ateez_official_/video/7090509825561349377?_r=1&u_code=0&region=US&mid=7084201528721950722&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090509825561349377&source=h5_t,1131660,11630,11212,18608,364754,7084201528721950722,7084201528721950722,10033,7084201528721950722,ZOOM,Jessi,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a21f6b2234c40bcacb6b20b16bafea4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0178575dfdbc44dca2d9734720d2f8d5,False,True,,,,,[],0,0
4,US,7079069309418425643,1648224265,"Sliding 10 stories down #WonderoftheSeas, the world’s largest cruise ship! 🤯 Would you slide down? @Royal Caribbean #slide #travel #royalcaribbean",6607756331535958022,Alex Ojeda 🇲🇽,"Taking you on the world’s most EPIC adventures!
📧 alex@alexojedamedia.com",Popular creator,0,False,https://www.tiktok.com/@alexojeda/video/7079069309418425643?_r=1&u_code=0&region=US&mid=7079069282763541290&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079069309418425643&source=h5_t,54454891,12659,14822,10376,5370042,7079069282763541290,7079069282763541290,72,7079069282763541290,original sound - Alex Ojeda 🇲🇽,Alex Ojeda 🇲🇽,6607756331535958022,Alex Ojeda 🇲🇽,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079069299561892654.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/63ac6d23c8c22f4c58ca9bf59cc54be7.json,False,False,Trinix,Hits 2021 (Mashup),original sound - Alex Ojeda 🇲🇽 (Contains music from: Hits 2021 (Mashup) - Trinix),"Contains music from: ""Hits 2021 (Mashup)""",[],0,0
5,KR,7092002493667839234,1651235511,Wait a minute! #JOSHUA #HOSHI,6756484434957009921,SEVENTEEN,"#SEVENTEEN Official TikTok
#세븐틴 공식 틱톡",가수 세븐틴,0,False,https://www.tiktok.com/@seventeen17_official/video/7092002493667839234?_r=1&u_code=0&region=US&mid=7082370286401702683&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092002493667839234&source=h5_t,4970129,19051,14294,37074,1183489,7082370286401702683,7082370286401702683,24,7082370286401702683,Wait A Minute! (Duckhead Edit),Duckhead Dj Kasur,6508494589473112066,Duckhead Dj Kasur,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082370305552829210.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/241863689ab47c011269273c5f206d17.json,False,False,WILLOW,Wait a Minute!,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",[],0,0
6,KR,7096339157672348929,1652245217,돼끼의 첫 틱톡.. 쓰리라차와 함께 #StrayKids #스트레이키즈,6662859609184976902,Stray Kids,"Stray Kids(스트레이 키즈) <ODDINARY>
2022.03.18 FRI 1PM (KST) | 0AM (EST)",가수 Stray Kids,0,False,https://www.tiktok.com/@jypestraykids/video/7096339157672348929?_r=1&u_code=0&region=US&mid=6897654966907833090&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096339157672348929&source=h5_t,8276782,47889,34680,110210,2541289,6897654966907833090,6897654966907833090,10036,6897654966907833090,Edge,REZZ,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f7d21c2eb65d491bb882a51978feb869,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0cfc55ff234845538156f63f5956b221,True,True,,,,,[],0,0
7,GB,7094671078865243438,1651942799,Socks 👏 are 👏 a 👏 perfect 👏 gift! 👏,7021648989582148614,Wizarding World,The official home of Harry Potter and Fantastic Beasts.,,2,False,https://www.tiktok.com/@wizardingworld/video/7094671078865243438?_r=1&u_code=0&region=US&mid=7095040257602784046&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094671078865243438&source=h5_t,7046101,3126,5441,147,1081741,7095040257602784046,7095040257602784046,72,7095040257602784046,original sound - Wizarding World,Wizarding World,7021648989582148614,Wizarding World,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095040298652388142.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5f451e09be790e2a1bada23b2928eb7c.json,False,False,Zerb,Gangsta,original sound - Wizarding World (Contains music from: Gangsta - Zerb),"Contains music from: ""Gangsta""",[],0,0
0,US,7088422622836313386,1650402002,Ayoooo 📸📸📸 #newphonewhodis @newphonewhodis,6640829274877722629,GOOF,"follow my new main account 
Lilgoofball",,0,False,https://www.tiktok.com/@thelilgoofball/video/7088422622836313386?_r=1&u_code=0&region=US&mid=7088422588430502699&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088422622836313386&source=h5_t,41933399,33513,48289,44472,7177863,7088422588430502699,7088422588430502699,72,7088422588430502699,original sound - GOOF,GOOF,6640829274877722629,GOOF,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7088422620399487787.mp3,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/36ce7fada90689b100c26e7792ac85b6.json,False,False,,,,,[],0,0
1,JP,7102710224963898625,1653728595,#まっか #はる,6978448377043764225,胃下垂ちゃん🍄,"垢BANされたので新しく🥺

まっか本人です。

三重〜 17liveやってます〜🍄",,0,False,https://www.tiktok.com/@macca_chan_/video/7102710224963898625?_r=1&u_code=0&region=US&mid=6529790861604031233&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102710224963898625&source=h5_t,1197101,854,580,2552,26978,6529790861604031233,6529790861604031233,24,6529790861604031233,ベイビー,ｉｂｕｋｉ,6524898880205864961,ｉｂｕｋｉ,False,True,https://sf77-sg.tiktokcdn.com/obj/tiktok-obj/1594187221880833,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2b306e6ab760a6961c6cd56551365d8f.json,False,False,Baby Music,Baby Shark Do Do Do Do,ベイビー (Contains music from: Baby Shark Do Do Do Do - Baby Music),"Contains music from: ""Baby Shark Do Do Do Do""",[],0,0
