,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,KY,7093602624359894278,1651608066,😂😂😂 #fyp,6783894812594111494,Chelsea Muñoz,"🇭🇳-🇰🇾
Live and let live✨✌🏾",,0,False,https://www.tiktok.com/@kingcici_/video/7093602624359894278?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093602624359894278&source=h5_m,820031,164,1055,16317,61734,7093602610037082885,7093602610037082885,72,7093602610037082885,original sound - kingcici_,Chelsea Muñoz,6783894812594111494,Chelsea Muñoz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093602629318249222.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/816d1bf5bde565e3b6784ef8bd7638ca.json,False,False,Marvin Gaye,Sexual Healing,original sound - kingcici_ (Contains music from: Sexual Healing - Marvin Gaye),"Contains music from: ""Sexual Healing""",[],0,0
1,KY,7095841084391116038,1652129249,#dirtbounce #pregs #girlnboymom #momof2 #caymanstylist #jamaicantiktok,6902227170560312326,Sassy,"🇯🇲 in 🇰🇾
Hair/Fitness/Food",,0,False,https://www.tiktok.com/@sassyshw/video/7095841084391116038?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095841084391116038&source=h5_m,480925,229,196,708,36769,7086264752310684421,7086264752310684421,72,7086264752310684421,original sound - otp_control,OTP Control,6893700174443906050,OTP Control,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086264749293619974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/614543879cadfc6e569b382661515aca.json,False,False,1Biggs Don,"Bwoii Affi"" Watch Eh Style","original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",[],0,0
2,US,7075322712092052782,1647351943,crazy lollll #fyp #iphone,6778518423108568069,Brooklyn,"Follow me on ig for mama info! 
19&22",,0,False,https://www.tiktok.com/@brooklynandbobby/video/7075322712092052782?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075322712092052782&source=h5_m,24820674,14280,61923,39204,2062643,7075322647248194347,7075322647248194347,72,7075322647248194347,original sound - brooklynandbobby,Brooklyn,6778518423108568069,Brooklyn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075322697097546539.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b31a2fe44b3ddf6153296932019e0be6.json,False,False,,,,,[],0,0
3,US,7080287075098004782,1648507797,Only Caribbean People Can Do All Four🔥 #caribbean #dancehall #fyp,6807576031113888773,Emajor🇯🇲🇺🇸,"20 🦂
Put God 1st In Everything
Follow My IG⬆️
🇺🇸 🇯🇲",,0,False,https://www.tiktok.com/@miixed_et/video/7080287075098004782?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080287075098004782&source=h5_m,537624,325,1630,3227,57403,7072651745524042501,7072651745524042501,72,7072651745524042501,DJ JAMZY FINESSE DANCEHALL REMIX,DJ Jamzy SpecialistJamz,6775478938116867077,DJ Jamzy SpecialistJamz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072651726272219909.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/16fbb6631ba9e7c3f500b71733fae04c.json,False,False,,,,,[],0,0
4,GB,7070541487074807045,1646238726,Oh yeah it’s big brain time 🤣 🎥 @Kaycee Loftis Tadlock #ladbible #fyp #foryoupage #lawnmower #lawncare #worksmarternotharder,6676352751163032582,LADbible,"😂 The funniest videos 😂
💵 Earn cash 💵
👇Submit your video👇",,0,False,https://www.tiktok.com/@ladbible/video/7070541487074807045?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070541487074807045&source=h5_m,4945851,3672,54582,10143,307025,6734488083900680966,6734488083900680966,72,6734488083900680966,The Redneck Rant,Golden Prophet,6703188318961894405,Golden Prophet,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1644164851217461.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8311d6e0521f45c6d8e7c8f633965796.json,False,False,,,,,[],0,0
5,AU,7102011262384491777,1653565855,#americanbully #americanbullyofficial #americanbullypuppy #americanbullypup #puppy #puppies #tallingpuppy,6568178744586403841,Ｐｅｔａ,"Endo & Adeno/hysterectomy 
Build A Brotherhood
IG @peta.xoxo
@_buildabrotherhood",,0,False,https://www.tiktok.com/@peta1111/video/7102011262384491777?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102011262384491777&source=h5_m,452362,136,1213,508,13712,6935922406913592069,6935922406913592069,72,6935922406913592069,Baby Gets A Shot...I Said Ow,Jude’s Snack Bish,118693478376640512,Jude’s Snack Bish,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6935922450869848838.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/77d54a52aaa5b3a712bc2b4ff6b7742f.json,False,False,,,,,[],0,0
6,US,7082562198442331438,1649037516,THE REAL REASON WHY MY EX GIRLFRIEND BROKE UP WITH ME 😢 #Relationship #LifeAdvice #GRAMMYs #GenshinMoments,6667962390863642629,LGNDFRVR,LGND COLLECTIBLES ⬇️,Verified account,0,False,https://www.tiktok.com/@lgndfrvr/video/7082562198442331438?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082562198442331438&source=h5_m,3676924,904,991,1583,270588,7082562167987374890,7082562167987374890,72,7082562167987374890,original sound - lgndfrvr,LGNDFRVR,6667962390863642629,LGNDFRVR,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7082562195036588846.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/348a5b8fe32236da70a85fe9a5743750.json,False,False,,,,,[],0,0
7,US,7075968937703329070,1647502405,#iwantout,7057368563736970286,ophelia,"Let’s keep this a secret🤫🤫🤫
Snap- libbywarnerr",,0,False,https://www.tiktok.com/@ilovemyselfsomuch.imhot/video/7075968937703329070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075968937703329070&source=h5_m,1702205,5292,1121,1890,458640,7060716407129934598,7060716407129934598,72,7060716407129934598,Im Tired,Labrinth,6672744759268312069,Labrinth,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7060716415480908550.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/012af81cbbdebd1533ee353327b1d2df.json,False,False,Labrinth,I'm Tired (Long Version),Im Tired (Contains music from: I'm Tired (Long Version) - Labrinth),"Contains music from: ""I'm Tired (Long Version)""",[],0,0
0,KY,7097638632625900805,1652547773,Hope no one recognize the toes and shoes 😭😭 #viral #foryou #caymanislands #fyp,7046524052652213254,Joseph.ky1,"Made in GCM 🇰🇾
Sleeper 06’ Euro R 
21🤘
Euro R Empire🙌",,0,False,https://www.tiktok.com/@joseph.ky1/video/7097638632625900805?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097638632625900805&source=h5_m,3993321,465,2990,2164,50251,7097638651027000069,7097638651027000069,72,7097638651027000069,original sound - joseph.ky1,Joseph.ky1,7046524052652213254,Joseph.ky1,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097638651957365510.mp3,,False,False,,,,,[],0,0
1,KY,7071774773021297925,1646525873,#greenscreen #fyp #maskoff  #goviral #trending #OutlanderChallenge,7039133111460594694,mikey,,,0,False,https://www.tiktok.com/@miichaelllb/video/7071774773021297925?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071774773021297925&source=h5_m,34102,117,54,133,7591,7059316850349607727,7059316850349607727,72,7059316850349607727,freak in you,yung mami,7047898044217885742,yung mami,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7059316934852021039.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2ace9ec0904b3aabb26a7a2c65296353.json,False,False,,,,,[],0,0
