,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,FR,7085696286967581958,1649767228,This is gonna be a good year #crush #class #boy,6574651570963709958,Insta : adeleeach,Insta : adeleeach,,0,False,https://www.tiktok.com/@yololacite/video/7085696286967581958?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085696286967581958&source=h5_m,1780697,2547,1455,91,258666,7084516589562891009,7084516589562891009,72,7084516589562891009,vegas,🍪,7046608758293726209,🍪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084516534588132098.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d1b174eab439dc4dc80cd66b540d7742.json,False,False,,,,,[],0,0
1,CA,7079492475542326534,1648322790,what did you think it was? #scp #plaugedoctor #doctor,7052509391514731526,Plauge doctor,"hi I'm Theplaugeleader 
be happy.
have fun, no hate.
I'm 16",,0,False,https://www.tiktok.com/@theplaugeleader/video/7079492475542326534?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079492475542326534&source=h5_m,4807768,34307,5016,14030,437309,6813017343896177413,6813017343896177413,72,6813017343896177413,original sound - scaryfunnytriangle,Triangle,6813036506350158853,Triangle,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663337404263477.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4ed4cfe3b102747634a33fb5166b1624.json,False,False,Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),original sound - scaryfunnytriangle (Contains music from: Lose Control (feat. Ciara & Fat Man Scoop) - Missy Elliott),"Contains music from: ""Lose Control (feat. Ciara & Fat Man Scoop)""",[],0,0
2,US,7084066590521609518,1649387785,#gymtok #gymrat #fitnessmotivation #gymmotivation #lifefacts #facts #workout #workoutmotivation ##fyp #motivation #inspiration #rules #quotes #motivationquotes #sad #life #xyz #inspirationalquotes #grinding #workingout #reallife #deep #grind #betteryourself #improvement #alpha #alphamale #sigma #dating #xyz #viral,6984594820347380741,Ivanzterr,"23- Fitness• Motivation•Tips 
Legendkrew
Goal 1 mil
Sub to YT",,0,False,https://www.tiktok.com/@ivanzterr/video/7084066590521609518?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084066590521609518&source=h5_m,2233385,1734,1476,17334,311811,6993609910579661573,6993609910579661573,72,6993609910579661573,original sound - xxtentacionlegend,Ea,6960906066910741510,Ea,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6993610149969595141.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b19c2ab6897f481c1bfb5cba1b4a6ff6.json,False,False,,,,,[],0,0
3,CA,7096893626663406854,1652374313,Fr #fyp #Summer #vibe #w,7054744721575052293,Tyler Morin,I know your seeing this follow me cuz cool 😎,,0,False,https://www.tiktok.com/@.ty.ller/video/7096893626663406854?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096893626663406854&source=h5_m,2944445,47869,15503,15367,458446,7091311189376256773,7091311189376256773,72,7091311189376256773,original sound - speedhubs,speed songs,7046514593506526213,speed songs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091311209202436870.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/047b761e74fb40ac83ec3f914c3f65f2.json,False,False,,,,,[],0,0
4,GB,7103621612737547525,1653940795,Do you want it?#ElectrifyTheMini #foryou #fypシ,7086024662463611910,Fashionbags lanly08,"🥰Necessary products for weekend,Halloween and Christmas 😍",,0,False,https://www.tiktok.com/@fashionbags_lanly_uk08/video/7103621612737547525?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103621612737547525&source=h5_m,1075,0,0,1,21,7030869625311086594,7030869625311086594,10033,7030869625311086594,Sunroof,Nicky Youre & dazy,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/986dfec9a96747239819231f7dc93931,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a118c1899d5b40d1a5c6c65c307b0e2d,True,True,,,,,[],0,0
5,GB,7103256055957736709,1653855682,#beyou,6972403573964489733,BeYOU,"🙏follow,like &share🇬🇧",,0,False,https://www.tiktok.com/@beyou_2022/video/7103256055957736709?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103256055957736709&source=h5_m,239958,108,870,1553,10833,7102177834386361130,7102177834386361130,72,7102177834386361130,original sound - coachkaivinci,Kai Vinci,6874363651499983878,Kai Vinci,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102177856905595690.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4812a0d2a9248da254e928b7339d40ae.json,False,False,,,,,[],0,0
6,US,7099880651154935086,1653069783,i started my period during this and i wasn’t supposed to start til tmr,7023050643862635525,cora,"c<3.
📧: cora@clementinegroup.co",,0,False,https://www.tiktok.com/@notcoratilley/video/7099880651154935086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099880651154935086&source=h5_m,6012583,14241,25542,22355,1270119,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf,amber ✘,7060505385828123675,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Leiner,Fury,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",[],0,0
7,DE,7099069412610739461,1652880903,where is the bride?#nonbinary,6812682022265390086,Gialu | Gio,"🌈as queer as it can get🦋
🇩🇪| 23 |🇮🇹
he/they
Berlin",,0,False,https://www.tiktok.com/@mx.gialu/video/7099069412610739461?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099069412610739461&source=h5_m,642455,1856,205,14,112161,7096187170385775366,7096187170385775366,72,7096187170385775366,look what you made me do taylor swift,🍂,7092407366297863174,🍂,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096187173480794886.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4628e0006a5c381ac1384f0782388765.json,False,False,Taylor Swift,Look What You Made Me Do,look what you made me do taylor swift (Contains music from: Look What You Made Me Do - Taylor Swift),"Contains music from: ""Look What You Made Me Do""",[],0,0
0,GB,7073479225507990789,1646922722,#fypシ #blackops2 #blackops2zombies #british #norwich #whatsongareyoulisteningto #blackops2maps,6969152931380446214,the real mr man,"Insta
lo.uis200.5",,0,False,https://m.tiktok.com/v/7073479225507990789.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073479225507990789&source=h5_m,22606279,17842,37251,48976,4324362,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0
1,US,7076959283761663278,1647732986,comments be funnier than the post #macysownyourstyle #tiktokcomments #1am #relatablememe #OscarsAtHome,6746221090388132869,Nick,"✝️ 1st 

YouTube: Zwifty2k 🎥 

Biz Inq: Zwifty789@gmail.com 📥",,0,False,https://m.tiktok.com/v/7076959283761663278.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076959283761663278&source=h5_m,1475422,4600,9520,14314,363405,6902546976160647942,6902546976160647942,72,6902546976160647942,original sound - russiancapitalist,Martin Luther simp,6634966788075847685,Martin Luther simp,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6902546896775056134.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3006392b4e753b0b15d89b2efe86d7eb.json,False,False,Syp,Laughing Effect,original sound - russiancapitalist (Contains music from: Laughing Effect - Syp),"Contains music from: ""Laughing Effect""",[],0,0
