,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,BB,7097257253954260230,1652458976,#stitch with @bellapoarch live in Orlando May 28th #sweetgirltour #zombiesisland #brawling #bbrrrr,6808628320147653638,Phil,"Barbadian Opportunist 
Recording Artist #Brawling #SweetGirl
@fatherphilis.chair",,0,False,https://www.tiktok.com/@fatherphilis/video/7097257253954260230?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097257253954260230&source=h5_m,331490,202,101,260,35894,7097257233909648133,7097257233909648133,72,7097257233909648133,original sound - fatherphilis,Phil,6808628320147653638,Phil,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097257239095724805.mp3,,False,False,,,,,[],0,0
1,US,7103301929819852078,1653866361,Oh my! 🤣🤣🤣 #Normanfreeman,6711706430820893702,NormanFreeman,"Being a Silly Bastard is therapeutic! 
Laughter is the Cure

Check out MORE!👇🏽",,0,False,https://www.tiktok.com/@norman_freeman_/video/7103301929819852078?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103301929819852078&source=h5_m,143913,269,821,55,28364,7103301897653652267,7103301897653652267,72,7103301897653652267,original sound - norman_freeman_,NormanFreeman,6711706430820893702,NormanFreeman,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103301918583212843.mp3,,False,False,Legacy Hits,Mug Mirror,original sound - norman_freeman_ (Contains music from: Mug Mirror - Legacy Hits),"Contains music from: ""Mug Mirror""",[],0,0
2,US,7092574653230665006,1651368722,,7058799028960822319,Wav3zz🌴,"Saint Thomas usvi 🌴
dm on Insta to book me🚀
⬇️Make 💰 playing with me ⬇️",,0,False,https://www.tiktok.com/@wav3zz7x/video/7092574653230665006?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092574653230665006&source=h5_m,381573,186,140,192,48080,7091639822808353578,7091639822808353578,72,7091639822808353578,original sound - tharealrare,Tharealrare,13990583,Tharealrare,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7091684823479159594.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b5e19997d54fce4f6465ef66474e9372.json,False,False,,,,,[],0,0
3,BB,7095504648534052102,1652050916,Yes we all run like this 🙄,5678189,Deena,"Island gyal 
Barbados 🇧🇧 
📧: Deena.g.fares@gmail.com",,0,False,https://www.tiktok.com/@iamafreshavocado/video/7095504648534052102?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095504648534052102&source=h5_m,177058,347,300,705,49184,6891415567417231361,6891415567417231361,10033,6891415567417231361,Pirates Of The Caribbean - Main Theme - He's A Pirate,Geek Music,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dd9c18943c4046f2a2a37db0e5244dc0,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a9204ae9dc8e4e7fb921f5153b7a8fc7,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1171882302', 'external_song_key': 'apple_song_id'}]",0,0
4,US,7078437155768487210,1648077079,,7072190384419537962,Laina.King,"WELCOME TO THE L&K FAMILY
Click YouTube icon for more content🎉",,0,False,https://www.tiktok.com/@laina.king/video/7078437155768487210?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078437155768487210&source=h5_m,604628,155,457,172,71254,7072496337962519342,7072496337962519342,72,7072496337962519342,original sound - arxxona,ari,6962658755566535685,ari,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072496350071474987.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/19aa99786abf232dac0b46fe7a37fc16.json,False,False,Louie Ray,Cash App,original sound - arxxona (Contains music from: Cash App - Louie Ray),"Contains music from: ""Cash App""",[],0,0
5,BB,7072784117749910826,1646760880,Whats yall fav👀 #kikeenyc #fyp #nyc #barbados🇧🇧 #xyzbca #viral,7037668723688014853,Kikee🤭,"Ceo of getting banned😝
🇯🇲🇧🇧🇵🇷🗽
20😜
Follow me on twitch: @ Kikeenyc",,0,False,https://www.tiktok.com/@.lmsydrn/video/7072784117749910826?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072784117749910826&source=h5_m,96083,247,226,468,12982,7061678640970484527,7061678640970484527,72,7061678640970484527,Jit trippin,Bloom,6743677132080530438,Bloom,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7061678667172449070.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/825761b5a64e3856f1cef89679eb9e8d.json,False,False,Enderboybeats,Jit Trippin,Jit trippin (Contains music from: Jit Trippin - Enderboybeats),"Contains music from: ""Jit Trippin""",[],0,0
6,CA,7096632909985107205,1652313611,BWOY AFFI #simdomsity #sims #sims4 #sims4cc #sims4mods #sims4tok #simstok #fyp #urbansims #blacksimmer #jamaicatiktok #ustiktok #jamaica #bwoyaffi #dancehall #dancehallmusic,7018007418731250693,Cee 🦋,"20
backup: @simdomsity2",,0,False,https://www.tiktok.com/@simdomsity/video/7096632909985107205?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096632909985107205&source=h5_m,49214,127,149,445,6489,7086264752310684421,7086264752310684421,72,7086264752310684421,original sound - otp_control,OTP Control,6893700174443906050,OTP Control,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086264749293619974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/614543879cadfc6e569b382661515aca.json,False,False,1Biggs Don,"Bwoii Affi"" Watch Eh Style","original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",[],0,0
7,BB,7092552126211329326,1651363477,it’s not okay #finalsweek #finalsszn #collegelife #collegegotmelike #fyp #foryou #kardashians,6871252409239340038,Pixorize,"Study pictures to remember more for the MCAT, USMLE Step 1, Nursing and NCLEX.",,0,False,https://www.tiktok.com/@pixorize/video/7092552126211329326?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092552126211329326&source=h5_m,510485,691,5079,6412,73646,7092552106258762538,7092552106258762538,72,7092552106258762538,original sound - pixorize,Pixorize,6871252409239340038,Pixorize,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092552119890348842.mp3,,False,False,,,,,[],0,0
0,BB,7100315744864341254,1653171087,The fact say I don’t know how to make a heart with my hands😭😭 #imanicelebritybackuppage #fyppppppppppppppppppppppp #fypage #exploer #topgyal #famous #popular #caribbeantiktokeurs #exploremore #naturalhair #fuckurfeelins #fuck #fuckoff,7058046148606723078,imanicelebritybackuppage,🇯🇲🇧🇧🏳️‍🌈,,0,False,https://www.tiktok.com/@imanicelebritybackuppage/video/7100315744864341254?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100315744864341254&source=h5_m,62940,137,327,1162,6796,6965964489036663558,6965964489036663558,72,6965964489036663558,I Don't Mind ,Fammouzz.Khariiiii,6778512588009276421,Fammouzz.Khariiiii,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6974333555606358789.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/99f41885b67d8471990f3ca725d5c993.json,False,False,Usher,I Don't Mind,I Don't Mind  (Contains music from: I Don't Mind - Usher),"Contains music from: ""I Don't Mind""",[],0,0
1,BB,7092086405844733189,1651255044,#fypシ #iamzoie #funnyvideos #hilarious #relatable #dumbquestions #dumbdumbchallenge #stupidity #stupidquestions #girlsbelike #foryoupage #trending #usemyaudio #usemysound #foryoupage #blowthisup,6785682408416052229,ᛕꪮꪻꪖꪖ ❤️,𝘉𝘪𝘱𝘰𝘭𝘢𝘳 𝘱𝘰𝘴𝘵𝘦𝘳 🗣,,0,False,https://www.tiktok.com/@happinessoveranything/video/7092086405844733189?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092086405844733189&source=h5_m,730017,2188,3748,4756,248529,7092086383992474373,7092086383992474373,72,7092086383992474373,original sound - happinessoveranything,ᛕꪮꪻꪖꪖ ❤️,6785682408416052229,ᛕꪮꪻꪖꪖ ❤️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092086394872482565.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/659d848aef04e7960dd5c7a91c8a6e0c.json,False,False,,,,,[],0,0
