,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,BG,7084321866688548101,1649447221,Последвайте ме в Инстаграм Djuliana_gani #djulianagani  #foryou #age  #trending,7077660851994461190,Djuliana Gani,"Fashion Model💃
2xVip Brother Final 📸
Fitness Mom
Healthy Lifestyle",,0,False,https://www.tiktok.com/@djuliana_gani_/video/7084321866688548101?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084321866688548101&source=h5_m,613618,236,35,0,13470,7070167676089305861,7070167676089305861,72,7070167676089305861,original sound - victoriakapitonova,ПОЛЕЗЕН БЛОГЪР ✌️🥰,6780065835191092230,ПОЛЕЗЕН БЛОГЪР ✌️🥰,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070167696788572933.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/26230db612add060c838c9ed385cda1a.json,False,False,,,,,[],0,0
1,BG,7100092882471750918,1653119201,Reply to @.xxmultixz #foryoupage #foryoupage #foryoupage #viral #viral #viral #foryou #foryou #foryou #fypシ #fypシ #fypシ #bezheit #bezheit #bezheit,7055619048340177926,Addison Rae,"𝖽𝖺𝗂𝗅𝗒 #𝗺𝘂𝗹𝘁𝘂 𝖿𝖾𝖾𝖽
✎ᝰ you’re beautiful
❏ ::Love u
🌿STAY POSITIVE🌿",,0,False,https://www.tiktok.com/@.xxmultixz/video/7100092882471750918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100092882471750918&source=h5_m,22072,36,42,0,483,7100092848502164230,7100092848502164230,72,7100092848502164230,original sound - .xxmultixz,Addison Rae,7055619048340177926,Addison Rae,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100092848908864261.mp3,,False,False,Cavendish Music,Funny Song,original sound - .xxmultixz (Contains music from: Funny Song - Cavendish Music),"Contains music from: ""Funny Song""",[],0,0
2,AE,7099718320974236930,1653031988,OMG 🤯 @carlrunefelt,6587964855256383494,ANAR DREAMS 💎,FOLLOW YOUR DREAMS ❤️,,0,False,https://www.tiktok.com/@anardreams/video/7099718320974236930?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099718320974236930&source=h5_m,9384054,3004,551,3389,478560,6745161928949106690,6745161928949106690,10033,6745161928949106690,Roses (Imanbek Remix),SAINt JHN,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dddb5efb3d194c858e50f8a8af3bb9ca,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/67fc02149d6b450d8b0576e29a1bc88c,True,True,,,,,[],0,0
3,GB,7101716571088784646,1653497242,Пак изглежда като дузпа на Кристи 🤣♥️@joannaociepka #leotv_69 #джолео,7027154314704405510,leoanddjoofficial5,Забава 💯,,0,False,https://www.tiktok.com/@leoanddjoofficial5/video/7101716571088784646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101716571088784646&source=h5_m,279574,61,24,47,16404,7101716571336231685,7101716571336231685,72,7101716571336231685,original sound - leoanddjoofficial5,leoanddjoofficial5,7027154314704405510,leoanddjoofficial5,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101716576352701189.mp3,,False,False,,,,,[],0,0
4,GB,7090145578088205574,1650803160,Винаги #тиктокбългария #България #bulgaria🇧🇬 #tiktokbulgari #tiktokbulgaria @milenkolev1,183302569597984768,MILEN KOLEV,"Follow my Instagram ➡️ milen_kolevv
За бизнес📧: milenkolevv@yahoo.com
YouTube⤵️",,0,False,https://www.tiktok.com/@milenkolev1/video/7090145578088205574?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090145578088205574&source=h5_m,220785,288,283,293,19902,7090145567258594054,7090145567258594054,72,7090145567258594054,original sound - milenkolev1,MILEN KOLEV,183302569597984768,MILEN KOLEV,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090145580130798341.mp3,,False,False,,,,,[],0,0
5,BG,7072367127419735302,1646663792,😂 #fypシ #fyp,151797654195212288,Анелия Големанова,instagram: aniigolemanowa,,0,False,https://www.tiktok.com/@aniigolemanowa/video/7072367127419735302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072367127419735302&source=h5_m,528969,261,504,840,32724,6957145338469731074,6957145338469731074,24,6957145338469731074,original sound - jeandee_,je,6894965494530442245,je,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6957145264612215553.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1c6315a3642d9e3b7eb4652f61d676b1.json,False,False,,,,,[],0,0
6,BG,7082421371879574790,1649004728,THE CHEESE TUCH 🧀 #foryoupage #foryou #fyp #fy,176764200042692608,Crazy boy🇧🇬,"TEAM 69💪🏼
📩 tiktokarcheto@abv.bg
⬇️ AboveTheRest промо код: MITIO1 ⬇️",,0,False,https://www.tiktok.com/@dimitarhristov69/video/7082421371879574790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082421371879574790&source=h5_m,170650,110,37,61,17855,7050975577356143406,7050975577356143406,72,7050975577356143406,original sound - lilzboy7,Tik Toker,7002469011608028166,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7050975603960990510.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/138d816a9eda6cbde66035f3d328379b.json,False,False,,,,,[],0,0
7,US,7102127558220664070,1653592933,FOLLOW ME FOR PART 2 #foryoupagе #foryou #viral 🍓🍓🍓🍓,6847512906746774533,✨Kati✨,No bio yet….,,0,False,https://www.tiktok.com/@kitty__k__/video/7102127558220664070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102127558220664070&source=h5_m,125671,44,2,11,8717,6729959230851254274,6729959230851254274,10033,6729959230851254274,Che La Luna,Louis Prima,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1de1f9fae2d74986b60bc778451b18c5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f2fd034403fe4bb09327e4657188b3fa,False,True,,,,,[],0,0
0,US,7100802437396860206,1653284404,OMG 🙈,7098516728795595819,user6833456179284,"millionaire by 25 💰
Now sharing all things money 👇",,0,False,https://www.tiktok.com/@anartdrecams/video/7100802437396860206?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100802437396860206&source=h5_m,4016375,1171,683,2997,80065,6863214295757490950,6863214295757490950,10036,6863214295757490950,"The Banjo Beat, Pt. 1",Ricky Desktop,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/188c0c911ca645d09af50088b414fda9,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/dcc01a5fc4434987b0a77394c5000842,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1528785794', 'external_song_key': 'apple_song_id'}]",0,0
1,US,7102516579216166146,1653683508,im just tryna lifegaurd at target #fyp #fakebody,6724715071983354886,Natalie Reynolds,"Link in ig bio 💗🌶
18",Verified account,0,False,https://www.tiktok.com/@nataliereynoldsx/video/7102516579216166146?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102516579216166146&source=h5_m,1075552,460,354,28,72879,6811968697339579141,6811968697339579141,72,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6601044405204779014,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0,0
2,BG,7083964632771218693,1649364046,#foryou #foryoupag #bulgaria #photo #fan #fanny #ергенът,6645373299042975750,A.Atanasow,"⚠️Много мило, 🌹⚠️много сладко, 🌹⚠️много меко, 🌹⚠️Много смело, 🌹",,0,False,https://www.tiktok.com/@a.atanasow/video/7083964632771218693?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083964632771218693&source=h5_m,1005991,356,1706,681,46845,7083964608117033733,7083964608117033733,72,7083964608117033733,original sound - a.atanasow,A.Atanasow,6645373299042975750,A.Atanasow,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083964624818703110.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b4c88fb7ea47f90f80b6dbb86dabbb61.json,False,False,,,,,[],0,0
3,DE,7101334696449019142,1653408330,Mission failed…🤣 #fyp #bodybuilding #muscle #gym,114594966600925184,Johnesen Münster,"FIRST SONG
„Gib nicht auf“
OUT NOW",,0,False,https://www.tiktok.com/@johnymuenster/video/7101334696449019142?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101334696449019142&source=h5_m,12152204,3951,9231,1047,914278,6764217897637136386,6764217897637136386,10033,6764217897637136386,AirplaneMode,BONES,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/59e9a89d3e5c4f5592e9850c007b8aca,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f34af59515144408bc01c1078243a2b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1489541288', 'external_song_key': 'apple_song_id'}]",0,0
4,BG,7073814977408273669,1647000896,#fyp,6971460150545908741,EssNaKonq,🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬,,0,False,https://www.tiktok.com/@essnakonq/video/7073814977408273669?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073814977408273669&source=h5_m,428085,376,1258,1671,30518,7073814933506493189,7073814933506493189,72,7073814933506493189,original sound - essnakonq,EssNaKonq,6971460150545908741,EssNaKonq,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073814943304289029.mp3,,False,False,Ork Djodji Bend,Pro kuchek,original sound - essnakonq (Contains music from: Pro kuchek - Ork Djodji Bend),"Contains music from: ""Pro kuchek""",[],0,0
5,BG,7075238648030973190,1647332370,Искам салам pt2,6682984813992199173,anissta,"22y
Instagram: @aniissta 🦋",,0,False,https://www.tiktok.com/@anissta/video/7075238648030973190?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075238648030973190&source=h5_m,468349,32,285,0,41613,7053796065208339205,7053796065208339205,72,7053796065208339205,original sound - chalga.ltd,chalga.ltd,6917289998509982726,chalga.ltd,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7053796061248375557.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9453608dda83e4671bbf71d0a79b8074.json,False,False,,,,,[],0,0
6,BG,7084209117153201413,1649420970,#Оригинален в кеш ОВ...!💋💯🖤#Няма лизинг#черен_кошмар_🔥😈⬆🏁👌💎 #GLE #63 #S #AMG #xubzka #foryou #fuppp #viral #fu,6958164388725572614,monika.ninova⚜🖤👸,"Може да излеждам груба и студена!!😨
Но за важните ми хора горя!!🔥☺❤",,0,False,https://www.tiktok.com/@monika.ninova/video/7084209117153201413?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084209117153201413&source=h5_m,629247,307,887,1,23358,7045345066893789957,7045345066893789957,72,7045345066893789957,original sound - patroncheto_2003,Toshko Patrona,6586169136250159110,Toshko Patrona,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7045345082941262597.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5afd61430d996e2f1b3053f4baf46ce1.json,False,False,,,,,[],0,0
7,US,7100609125779885355,1653239394,so advanced,7064470359649207343,fgewjkhrtwje3tr,,,0,False,https://www.tiktok.com/@passionflame1/video/7100609125779885355?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100609125779885355&source=h5_m,10151696,2111,21167,37491,870975,7100609088765348654,7100609088765348654,72,7100609088765348654,original sound - passionflame1,fgewjkhrtwje3tr,7064470359649207343,fgewjkhrtwje3tr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100609125112924974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/97005d19e5af4f5c4e4e22c541581a8e.json,False,False,,,,,[],0,0
0,BG,7100251404484365573,1653156106,#fyp,7098982263497589766,MEDUSA & GIBO,"ОБЩ Tik-Tok акаунт на 
Gibo Baby и SK Medusa
Профила е реален и не е фейк✅",,0,False,https://www.tiktok.com/@medusagibo/video/7100251404484365573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100251404484365573&source=h5_m,170527,191,166,30,5858,7089145566499818246,7089145566499818246,72,7089145566499818246,original sound - daarkskinshawty,Darkskinshawty,6796282451678217221,Darkskinshawty,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089145559323364101.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e51aebbac6125ad1343eb0d3f404364a.json,False,False,,,,,[],0,0
1,BG,7084237309830368518,1649427534,#много мило#велигеоргиева #veligeorgieva #fyp #fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #velichannel #velifans #fun,6904634338806105090,veligeorgievanew,"Нов и единствен акаунт ✌️
velifans.com
velichannel.com",,0,False,https://www.tiktok.com/@veligeorgievanew/video/7084237309830368518?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084237309830368518&source=h5_m,509149,145,954,483,18923,7084237287323732741,7084237287323732741,72,7084237287323732741,original sound - veligeorgievanew,veligeorgievanew,6904634338806105090,veligeorgievanew,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084237282466728709.mp3,,False,False,,,,,[],0,0
2,BR,7091460660025986309,1651109353,,6870655627422811141,nelzv15,,,0,False,https://www.tiktok.com/@nelzv15/video/7091460660025986309?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091460660025986309&source=h5_m,3143626,353,721,2891,131472,7091460638546955014,7091460638546955014,72,7091460638546955014,original sound - nelzv15,nelzv15,6870655627422811141,nelzv15,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091460632351968005.mp3,,False,False,Shaggy,Boombastic,original sound - nelzv15 (Contains music from: Boombastic - Shaggy),"Contains music from: ""Boombastic""",[],0,0
3,BG,7087528611078606086,1650193850,#болгария #лидл #украинцывболгарии,230545197032529920,Карина Луценко,Одеситочка🇺🇦,,0,False,https://www.tiktok.com/@karinalutsenko6/video/7087528611078606086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087528611078606086&source=h5_m,428076,729,120,0,11228,7087528589121391365,7087528589121391365,72,7087528589121391365,original sound - karinalutsenko6,Карина Луценко,230545197032529920,Карина Луценко,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087528614870141701.mp3,,False,False,,,,,[],0,0
4,GB,7099207874936720646,1652913142,who won!? 😂,6639636011294244870,Kristenhanby,the craziest family on the internet 😂,Verified account,0,False,https://www.tiktok.com/@kristenhanby123/video/7099207874936720646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099207874936720646&source=h5_m,23603491,2706,15561,14105,811141,7099207858633394950,7099207858633394950,72,7099207858633394950,original sound - kristenhanby123,Kristenhanby,6639636011294244870,Kristenhanby,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099207857560275718.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/82cf69ab793d0be6485923182990cb0c.json,False,False,,,,,[],0,0
