,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,US,7098435199603592453,1652733237,Reply to @suonpaajoonas33 wait til the end 👀 #iihfhockey #2022iihfworlds #hockey #finland,6772570318924366854,IIHFhockey,The home of hockey for #IIHFWorlds #WomensWorlds #WorldJuniors and #U18Worlds,,0,False,https://m.tiktok.com/v/7098435199603592453.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098435199603592453&source=h5_m,772657,768,293,392,64358,7046535109322984238,7046535109322984238,72,7046535109322984238,umbrella slowed,xxtristanxo,6733368876640683014,xxtristanxo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7046535129178852143.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e1a64c9ed187fcfdb156b09307994424.json,False,False,,,,,[],0,0
1,NO,7092780149350862086,1651416569,camilla in the background💀,6946606300587869190,julie,"our journey towards starting a family👩‍👩‍👧🤍
post@camillalor.no",,0,False,https://m.tiktok.com/v/7092780149350862086.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092780149350862086&source=h5_m,45293548,33972,127704,34184,4249242,7089803109970561798,7089803109970561798,72,7089803109970561798,Booty do not jiggle by Alex Holtti,Alexander Holtti,60848565970804736,Alexander Holtti,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089803118019480325.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6758973c393ab9355679f490af184898.json,False,False,,,,,[],0,0
2,BR,7095376573850717446,1652021096,,6958244157219996677,gabrielsilvapjl25,insta @diixdiabinha35,,0,False,https://m.tiktok.com/v/7095376573850717446.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095376573850717446&source=h5_m,17702294,154238,244529,62589,1036212,7093552978606492421,7093552978606492421,72,7093552978606492421,original sound - mcmarcela_gc,Marcela Barão,6839057926859113478,Marcela Barão,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093552977255893765.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3b967a2525bd84f268bb14eed80f6e6d.json,False,False,DJ Gatal Jedag,Beat ja e feia quando eu passo vira o olho meme,original sound - mcmarcela_gc (Contains music from: Beat ja e feia quando eu passo vira o olho meme - DJ Gatal Jedag),"Contains music from: ""Beat ja e feia quando eu passo vira o olho meme""",[],0,0
3,GB,7102816979697929478,1653753451,pretty mad tbh #acne #revenge #roaccutane #foryoupage,6940355312385786885,erin,for the lols,,0,False,https://m.tiktok.com/v/7102816979697929478.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102816979697929478&source=h5_m,5771051,9982,4933,5763,1353073,7099386542078102315,7099386542078102315,72,7099386542078102315,They say there are five stages of,NickLifts,7069595957536703531,NickLifts,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099386676023184174.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6bdefdd21fa12d3ceaaaee06b79d99da.json,False,False,,,,,[],0,0
4,FI,7102447264894815493,1653667371,,6635906646253371397,Viivi,Crazy,,0,False,https://m.tiktok.com/v/7102447264894815493.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102447264894815493&source=h5_m,422561,515,455,0,24977,7095024261693311750,7095024261693311750,72,7095024261693311750,original sound - sonjahuhtaniska,Sonja Huhtaniska,7000799756570444805,Sonja Huhtaniska,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095024290092829446.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e4f92355a89ba6475ed954d9516deed5.json,False,False,,,,,[],0,0
5,FI,7090107767926623493,1650794358,Aikuisten oikeesti #suomi,6741351435415815174,Chime,"🤕Seuraa😤Chimbula😮‍💨Instagram🙄

📨
chimbulaa@gmail.com",,0,False,https://m.tiktok.com/v/7090107767926623493.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090107767926623493&source=h5_m,1376761,2949,50921,7788,143387,7090107742819486470,7090107742819486470,72,7090107742819486470,original sound - chimbulaa,Chime,6741351435415815174,Chime,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090107741108243205.mp3,,False,False,,,,,[],0,0
6,FI,7083904642903493893,1649350078,And you only need 6 ingredients to make it🤩 #cheesecake #healthytreat #highprotein #glutenfree #highproteinbreakfast #glutenfreetreat,6813588532205978630,Selma (healthy & easy recipes),"Gluten-free, Easy & Healthyish Recipes
IBS Sufferer
IG 200K",,0,False,https://m.tiktok.com/v/7083904642903493893.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083904642903493893&source=h5_m,1144764,232,184,574,66456,7080879293315762950,7080879293315762950,72,7080879293315762950,big energy x fantasy by altegomusic,ALTÉGO,6925393143870342149,ALTÉGO,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080879298260814597.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bc789ca3496f6c6e3afcfb3e8fb9cbb0.json,False,False,Latto,Big Energy,big energy x fantasy by altegomusic (Contains music from: Big Energy - Latto),"Contains music from: ""Big Energy""",[],0,0
7,CZ,7093986990810582277,1651697559,BULKING UP🔱 #fyp #gym #zyzzlegacy #zyzz #transformation #gymtok,137554393939271680,smk,"🔱 
6’5 156lbs
⬇️ TRAINING PLANS⬇️",,0,False,https://m.tiktok.com/v/7093986990810582277.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093986990810582277&source=h5_m,25405569,36373,31646,462,4357663,7089265858454981422,7089265858454981422,72,7089265858454981422,House of Memories with guitar christianrlocke,Christian,6711890683365508101,Christian,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7089270214277483310.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/882c380e4106038fef29a4219687fdc0.json,False,False,Legacy Hits,How,House of Memories with guitar christianrlocke (Contains music from: How - Legacy Hits),"Contains music from: ""How""",[],0,0
0,FI,7088682497608912133,1650462511,Pls tiktok don’t take this down #foryou #fyp #xyzbca,6668643939417571333,Glid & Gnid,"🇫🇮🇸🇪
maitomaitomaito",,0,False,https://www.tiktok.com/@karvaisia_palloja/video/7088682497608912133?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088682497608912133&source=h5_m,9323473,24259,68537,11947,1319856,7088682459910408966,7088682459910408966,72,7088682459910408966,original sound - karvaisia_palloja,Glid & Gnid,6668643939417571333,Glid & Gnid,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088682465241484038.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b8ad62614a69bf5ad68b7d703c23f1f.json,False,False,,,,,[],0,0
1,CA,7093953478438980870,1651689756,Idk how people do these. I’ll stick to the skits🫠,6813560925275128838,Kris HC,"Daily Subpar Content
🇨🇦
Kallmekris@wearetrival.com
⬇️YT Channel & Business⬇️",Verified account,0,False,https://www.tiktok.com/@kallmekris/video/7093953478438980870?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093953478438980870&source=h5_m,26928203,14109,5142,9539,3296839,7089828122854197249,7089828122854197249,10033,7089828122854197249,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/62d497a35bcf407598da8ac1d741359b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/38418ae73d084e45a86fb6cbbd0149fe,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0
