,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,FO,7096474303520066821,1652276682,Food's that help with...#blowop #fypシ #actives? #blowop? #fyp #bored #tipsfromEva,7030548390358909958,"Tysfm for 1,7k🥳","❤️‍🔥plz help me gett to 5k thank you❤️‍🔥
✌🏼Face reveal at 5k✌🏼
💋1 owner💋",,0,False,https://www.tiktok.com/@tips.xforeveryone.x/video/7096474303520066821?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096474303520066821&source=h5_m,140194,206,92,588,7411,7089705887647976197,7089705887647976197,72,7089705887647976197,хабиби,♡,6971676576509953029,♡,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089705882170198790.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0cecf04f8e63ae07ac76a67a049bb1e1.json,False,False,Chunda Munki,Don't Stop Now,хабиби (Contains music from: Don't Stop Now - Chunda Munki),"Contains music from: ""Don't Stop Now""",[],0,0
1,FO,7086893557759380741,1650045990,Elena was like stfu! #elenagilbert #katherinepierce #thevampirediaries #ninadobrev #tvd #tvdu #edit #blowup,7082130498370339846,Nick>>,"No spam! 
Obsessed with Nina/Katherine/Elena
I use ae | 15 
Multifandom <\3",,0,False,https://www.tiktok.com/@katherineaepp/video/7086893557759380741?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086893557759380741&source=h5_m,5381509,4327,1929,6940,973292,7086893555691686662,7086893555691686662,72,7086893555691686662,original sound - katherineaepp,Nick>>,7082130498370339846,Nick>>,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086893562628967174.mp3,,False,False,,,,,[],0,0
2,DE,7103249692410055941,1653854200,#Memes #funnyvideos #foryou,6978587718997918726,Meme Fanpage,"Fanpage 
not my memes
📧thefunmaster3000@outlook.de
Mail -> Credits/Removal",,0,False,https://www.tiktok.com/@thefunmaster3000/video/7103249692410055941?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103249692410055941&source=h5_m,772463,245,542,2,86063,7103249689532713733,7103249689532713733,72,7103249689532713733,original sound - thefunmaster3000,Meme Fanpage,6978587718997918726,Meme Fanpage,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103249680183724805.mp3,,False,False,,,,,[],0,0
3,DE,7101749921094569222,1653505009,It’s all about perspective… literally. 📸🤓 Credit @Jared VanderMeer,6791837566989878278,Porsche,"The official account of Porsche AG.
Tag @Porsche for a chance to get featured.",,2,False,https://www.tiktok.com/@porsche/video/7101749921094569222?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101749921094569222&source=h5_m,2757629,164,65,353,167212,6988445527943744261,6988445527943744261,72,6988445527943744261,original sound - revcngerz,Jona,6638636391021543429,Jona,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6988445669275093766.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5f17716d117af7a05792bcb9d44883c5.json,False,False,Semme,Do Dat (Tik Tok Resume),original sound - revcngerz (Contains music from: Do Dat (Tik Tok Resume) - Semme),"Contains music from: ""Do Dat (Tik Tok Resume)""",[],0,0
4,CA,7090728620758502661,1650938912,#stitch with @smiletilo,6794823896006198277,Michael Tran,Mt19hjbiz@gmail.com,,0,False,https://www.tiktok.com/@miichaelltran/video/7090728620758502661?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090728620758502661&source=h5_m,16583028,17678,44095,43904,2792768,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0
5,US,7082244881825107246,1648963635,u fruity?,6744735756872827910,i❤️uriel,"follow my insta
17",,0,False,https://www.tiktok.com/@daweekndsgf/video/7082244881825107246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082244881825107246&source=h5_m,21685045,70715,204453,30733,3845949,7079072470883388166,7079072470883388166,72,7079072470883388166,original sound - cupidfilm,222,6982188638922671105,222,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079072483818605317.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/520757a8399b5925548094e50a739557.json,False,False,Tame Impala,"New Person, Same Old Mistakes","original sound - cupidfilm (Contains music from: New Person, Same Old Mistakes - Tame Impala)","Contains music from: ""New Person, Same Old Mistakes""",[],0,0
6,US,7076872949353041195,1647712884,Typical @clayton.echard  🙄🙄🙄🙄,6633020965692293126,Susie Evans,Never doing what I’m supposed to.,,0,False,https://www.tiktok.com/@susiewaslike/video/7076872949353041195?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076872949353041195&source=h5_m,2129738,546,2274,128,94014,6807776806742084357,6807776806742084357,72,6807776806742084357,God Karen your so stupid. Mean Girls,SophieReu,6758223125174223877,SophieReu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1662055227720773.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/81d53081ad9a6628dc75dc9741eb99e7.json,False,False,Baha Bla$t,Dumb Bitch Juice (I'm Stupid),God Karen your so stupid. Mean Girls (Contains music from: Dumb Bitch Juice (I'm Stupid) - Baha Bla$t),"Contains music from: ""Dumb Bitch Juice (I'm Stupid)""",[],0,0
7,DE,7101753136070626565,1653505755,Boys let me hear u,6949240787491144710,Nicolas Julian,"🦁 from Hamburg, living in Berlin 🇩🇪
🔽 Spotify, Instagram & more 🔽",,0,False,https://www.tiktok.com/@julian.nicolas/video/7101753136070626565?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101753136070626565&source=h5_m,889693,3480,380,25,138642,7101753120467798789,7101753120467798789,72,7101753120467798789,original sound - julian.nicolas,Nicolas Julian,6949240787491144710,Nicolas Julian,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101753140688456453.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e873d9d2ec7575c47d2b1175400e11e3.json,False,False,Katy Perry,Hot N Cold,original sound - julian.nicolas (Contains music from: Hot N Cold - Katy Perry),"Contains music from: ""Hot N Cold""",[],0,0
0,FO,7079776290726857989,1648388872,"One gets encouraged, the other changes #facts #fyp #foryou #xbyzca #chad",6619220247316348933,filthy mad,Ein nokkso brekaður føroyingur,,0,False,https://www.tiktok.com/@filthy_mad/video/7079776290726857989?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079776290726857989&source=h5_m,9625,46,15,0,769,7071778415006731051,7071778415006731051,72,7071778415006731051,Prolly my spookiest beat edited,qtBun❄️,6793778418233705477,qtBun❄️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7071778442043345707.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/96b92541caea49097f61e9cc02c636f6.json,False,False,Maikkis,Back In Town,Prolly my spookiest beat edited (Contains music from: Back In Town - Maikkis),"Contains music from: ""Back In Town""",[],0,0
1,FO,7097601236643384581,1652539066,POV: she never came back #foryoupage #foryou #natasharomanoff #steverogers #sadedit #marvelstudios #mervel #mcuedit #mcu #viral #scarlettjohansson #blackwidow #fyp,7094960129959756805,Ace,"🇮🇹
Nick 15 | AE 2022
Multifandom strangerthings4",,0,False,https://www.tiktok.com/@aenickay/video/7097601236643384581?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097601236643384581&source=h5_m,551348,880,2056,6665,149747,7097601215248304901,7097601215248304901,72,7097601215248304901,original sound - aenickay,Ace,7094960129959756805,Ace,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097601233607363333.mp3,,False,False,,,,,[],0,0
