,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,ZA,7103595740714241286,1653934770,,6758019214197933062,Makhadzi Music,"Singer, Songwriter, Dancer!
#Matorokisi
#Murahu 
#KokovhaAlbum",Verified account,0,False,https://www.tiktok.com/@makhadzimusic/video/7103595740714241286?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103595740714241286&source=h5_m,146906,152,32,483,12669,7.10359572043062e+18,7103595720430619397,72.0,7103595720430619397,original sound - makhadzimusic,Makhadzi Music,6758019214197933062,Makhadzi Music,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103595294152592134.mp3,,False,False,,,,,[],0.0,0
1,ZA,7100938884468575493,1653316174,Dad getting Schooled🥲 #mzansicomedy #mzanzimemes #bontjies #lion,6764067300892574726,Marlon Patrick,"🙏🏽Instagram: marlonpatrick14⤴️
But
🤪If you smiled, I’m happy😊",,0,False,https://www.tiktok.com/@marley_marlz18/video/7100938884468575493?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100938884468575493&source=h5_m,999274,1452,2014,11597,71685,7.099108968286555e+18,7099108968286554886,72.0,7099108968286554886,original sound - innocentmashabain,Innocent Mashaba Inn,6652873257265430533,Innocent Mashaba Inn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099108963337276166.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3a33339c695e40730c9bef3925ccc1c5.json,False,False,,,,,[],0.0,0
2,ZA,7100535042027425030,1653222147,Episode 281#podcastandchillwithmacg,6975179216170189825,podcastandchill,"@podcastandchillwithmacg 
Full interviews on YouTube
👇",,0,False,https://www.tiktok.com/@podcastandchill/video/7100535042027425030?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100535042027425030&source=h5_m,2480763,1713,4454,42120,181480,7.100535020423204e+18,7100535020423203590,72.0,7100535020423203590,original sound - podcastandchill,podcastandchill,6975179216170189825,podcastandchill,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100535009911606022.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4e8bb23a6125b7c2b44bd584a7c6407e.json,False,False,,,,,[],0.0,0
3,LS,7096170872767089925,1652206033,#fypシ #trend #viral #🤣🤣🤣 #foodkiller  🤣🤣🤣🤣the boy loves his food 🤣🤣🤣,6856098995971376133,Tlotlisang Torres Ntakatsane,"please follow my Facebook page
 ❤️@Bathong❤️",,0,False,https://www.tiktok.com/@bathongggggg/video/7096170872767089925?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096170872767089925&source=h5_m,474342,563,2887,24739,34172,7.096170870539881e+18,7096170870539881222,72.0,7096170870539881222,original sound - bathongggggg,Tlotlisang Torres Ntakatsane,6856098995971376133,Tlotlisang Torres Ntakatsane,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096170875606649605.mp3,,False,False,,,,,[],0.0,0
4,ZA,7072714431569988865,1646744655,keep the faith #trustgodsa #christianentrepreneur #tdjakes #motivation #chaseyourdreams,6928346334190224389,Trust God Apparel Co.,"Work Hard - Pray Harder 
Trust God, Trust  Your Vision , Trust The Process",,0,False,https://www.tiktok.com/@trustgodsa/video/7072714431569988865?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072714431569988865&source=h5_m,2885498,2377,63357,175668,130182,7.072714437081206e+18,7072714437081205505,72.0,7072714437081205505,original sound - trustgodsa,Trust God Apparel Co.,6928346334190224389,Trust God Apparel Co.,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072714424062200577.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ce86b5068de23c2020307747371cb351.json,False,False,C.A. Brown,Perserverance,original sound - trustgodsa (Contains music from: Perserverance - C.A. Brown),"Contains music from: ""Perserverance""",[],0.0,0
5,US,7101587163971702022,1653467114,3310 💣,6805597992532427782,PITORI MARADONA.,FOCALISTIC 💫,,0,False,https://www.tiktok.com/@focalisticofficial/video/7101587163971702022?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101587163971702022&source=h5_m,428563,124,224,8039,33921,7.101587117289131e+18,7101587117289130757,72.0,7101587117289130757,original sound - focalisticofficial,PITORI MARADONA.,6805597992532427782,PITORI MARADONA.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101587106740357894.mp3,,False,False,,,,,[],0.0,0
6,LS,7092783127688482053,1651417263,Lejoale wa nyele #maseru #southafrica #malomevector #sesotho,6982666704246080517,Leppy,"Wanyela 🇿🇦🇱🇸🇮🇪Bolojo 
Instagram @bigleppy
Booking🔝watsap me👆
Dm there",,0,False,https://www.tiktok.com/@bigleppy/video/7092783127688482053?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092783127688482053&source=h5_m,514527,571,2347,15739,31702,7.092783123343101e+18,7092783123343100677,72.0,7092783123343100677,original sound - bigleppy,Leppy,6982666704246080517,Leppy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092783137012353797.mp3,,False,False,,,,,[],0.0,0
7,GB,7100479356471954694,1653209183,#deep #pain #lonely #deepthoughts #alone #sad #fyp #foryou,7053854746805928966,_.3amthoughts00,"FOLLOW FOR MORE LATE NIGHT THOUGHTS❤️
Email = ap_thoughts@outlook.com",,0,False,https://www.tiktok.com/@_.3amthoughts00/video/7100479356471954694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100479356471954694&source=h5_m,1166137,1965,4316,28321,163972,7.044538480956902e+18,7044538480956902149,72.0,7044538480956902149,original sound - zakharartist,Zakhar,6985814909364995078,Zakhar,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7044538526964222725.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d5d05fa6631dc2c61003fa47d9c61ab8.json,False,False,Sadie Jean,WYD Now?,original sound - zakharartist (Contains music from: WYD Now? - Sadie Jean),"Contains music from: ""WYD Now?""",[],0.0,0
0,US,7075880500941983022,1647481812,,6948223095807755270,PeeGunna718,🗣This is all for laughs and fun. Opinion is like an a** hole we all have 1. 😂,,0,False,https://www.tiktok.com/@peegunna718/video/7075880500941983022?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075880500941983022&source=h5_m,1535655,3436,21790,27071,142458,7.073549738553003e+18,7073549738553002794,72.0,7073549738553002794,original sound - kahleighcomedy,Kahleigh Lucas Sr,6804514795703157766,Kahleigh Lucas Sr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073549779501927211.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3ed2b12583a04b840b3d8d0c46618a4d.json,False,False,,,,,[],0.0,0
1,ZA,7101734027245440261,1653501307,Iykyk😭🤣 #nathanvidz #teachersbelike #relatable #mzansicomedy #mzansimemes,6659045590724296710,Nathan,"Normal is boring😂
Entertainer | Influencer 
📧 bookings@nathanmolefe.com
🇿🇦",Popular creator,0,False,https://www.tiktok.com/@nathanmolefe/video/7101734027245440261?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101734027245440261&source=h5_m,1177240,785,1345,19589,64219,7.101734015790599e+18,7101734015790598917,72.0,7101734015790598917,original sound - nathanmolefe,Nathan,6659045590724296710,Nathan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101734020026829574.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/15970c240242983819694257d37dc304.json,False,False,,,,,[],0.0,0
