,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,SV,7083537138570038533,1649264512,🤣😌,6827588559135654918,Xiomy”s🦋❤️,"🦋❤️ La vida cambia, cuando empiezas a enfocarte en ti….🌻❤️",,0,False,https://www.tiktok.com/@xiomara9903/video/7083537138570038533?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083537138570038533&source=h5_m,7910969,4235,70135,98508,766309,6.782992603244661e+18,6782992603244660738,10033.0,6782992603244660738,Ballade pour Adeline,Christian Borgh,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9dbc3639546341d494ca2a53d5423724,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/39c5ab67de0e4e878c1cbc05d8417c4b,False,True,,,,,[],0.0,0
1,SV,7078002914136018182,1647975975,La gente habla de mi abuela ;;; automáticamente mi abuela …😹😹😹😹😹,6787023533002195973,Tania Dueñas,Salvadoreña🥰💪,,0,False,https://www.tiktok.com/@tania24134/video/7078002914136018182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078002914136018182&source=h5_m,26609954,22439,333878,340603,1917179,7.078002905659297e+18,7078002905659296517,72.0,7078002905659296517,original sound - tania24134,Tania Dueñas,6787023533002195973,Tania Dueñas,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078002900445776646.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8d082d7e813cc50b99fb888d76a7fff2.json,False,False,,,,,[],0.0,0
2,US,7082487756256988459,1649020184,Que ricoooooo🤤🤤 #omarvelasquez #omarvelasquezoficial #fyp #elsalvador,7073256815732229163,omarvelasquezoficiall,"Facebook: Omar Velasquez. Publicidad, Negocios y Colaboraciones en el link 👇🏻",,0,False,https://www.tiktok.com/@omarvelasquezoficiall/video/7082487756256988459?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082487756256988459&source=h5_m,3994844,5586,5788,4966,356699,7.082487732362251e+18,7082487732362251054,72.0,7082487732362251054,original sound - omarvelasquezoficiall,omarvelasquezoficiall,7073256815732229163,omarvelasquezoficiall,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7082487767409625898.mp3,,False,False,,,,,[],0.0,0
3,GT,7091124972873108741,1651031196,#mi gordo bello,7033184814191232005,margaritagutierrez48,,,0,False,https://www.tiktok.com/@margaritagutierrez48/video/7091124972873108741?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091124972873108741&source=h5_m,23513634,24873,52831,52437,1601085,7.091124945580723e+18,7091124945580722950,72.0,7091124945580722950,original sound - margaritagutierrez48,margaritagutierrez48,7033184814191232005,margaritagutierrez48,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091124938265856773.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/61fa3f9b13638ac2820e53666c615731.json,False,False,,,,,[],0.0,0
4,HN,7103028461266062598,1653802695,#greenscreen  #viral #Honduras me enamore al verla por primera vez,6895094074891289605,A_dominguez687,,,0,False,https://www.tiktok.com/@a_dominguez687/video/7103028461266062598?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103028461266062598&source=h5_m,209530,41,27,138,4538,7.103028412977057e+18,7103028412977056517,72.0,7103028412977056517,original sound - a_dominguez687,A_dominguez687,6895094074891289605,A_dominguez687,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103028401908992774.mp3,,False,False,"Jose Manuel ""El Sultan""",Spanish Girl,"original sound - a_dominguez687 (Contains music from: Spanish Girl - Jose Manuel ""El Sultan"")","Contains music from: ""Spanish Girl""",[],0.0,0
5,SV,7099591627055910150,1653002491,Nos captaron en Metapán 👊🏼⚽️🦅🧡🖤 @sunshine_21_43  insta:@ElRicky_22 página de fb:@GioCruz 🫶🔥,6803238122920805382,Giovanni Cruz,❤️ 🇸🇻 Instagram: @ElRicky_22 sígueme en mi pag. de fb Gio Cruz 😇👇🏼👇🏼,,0,False,https://www.tiktok.com/@giovanni_cruz22/video/7099591627055910150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099591627055910150&source=h5_m,4495086,664,606,2467,136346,7.019473135548386e+18,7019473135548386054,72.0,7019473135548386054,original sound - rolitasconletras30s,Rolitas Con Letras 30s,6839019251279021062,Rolitas Con Letras 30s,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7019473192502774534.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d3c4b6a7d0800515b3b99c3fda8d4fa2.json,False,False,Marco Antonio Solís,Inventame - En Vivo en Puerto Rico - Teatro Bellas Artes /2000,original sound - rolitasconletras30s (Contains music from: Inventame - En Vivo en Puerto Rico - Teatro Bellas Artes /2000 - Marco Antonio Solís),"Contains music from: ""Inventame - En Vivo en Puerto Rico - Teatro Bellas Artes /2000""",[],0.0,0
6,SV,7101111145624423685,1653356282,,6932845695717164037,jasmin_a082,,,0,False,https://www.tiktok.com/@jasmin_.a082/video/7101111145624423685?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101111145624423685&source=h5_m,4570016,3154,28325,2065,297523,7.035800396849221e+18,7035800396849220358,72.0,7035800396849220358,original sound - melynandrea,Melynandrea,6923620591262155781,Melynandrea,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7035800467552750341.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30ab4cc8a7a9ddabc196c4dedcf1832d.json,False,False,Sadock,El culo de tu jefa,original sound - melynandrea (Contains music from: El culo de tu jefa - Sadock),"Contains music from: ""El culo de tu jefa""",[],0.0,0
7,SV,7097740807997771014,1652571563,,6640163766808133638,tulipannegrodelac,No bio yet,,0,False,https://www.tiktok.com/@tulipannegrodelac/video/7097740807997771014?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097740807997771014&source=h5_m,14808506,17391,82640,65308,361858,7.05350529464317e+18,7053505294643170053,10036.0,7053505294643170053,Jordan,Ryan Castro,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/96671f3ce8884b808a2edf088abcb19e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/702d3d8cc2844491961243fd6e32619d,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1564505115', 'external_song_key': 'apple_song_id'}]",0.0,0
0,SV,7073476452414491909,1646922076,😂😅,6771095335542555654,Nano4k,Sígueme en Fasebok 👇🏿👇🏿👇🏿👇🏿,,0,False,https://www.tiktok.com/@nano4k/video/7073476452414491909?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073476452414491909&source=h5_m,304279,30,85,161,10088,7.002621896437026e+18,7002621896437025541,72.0,7002621896437025541,original sound - hosendo03,Jose Armando Chávez,6784130860285330438,Jose Armando Chávez,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7002621990490213125.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30450b5dd739de32531d7089fa1af80a.json,False,False,DJ Infinity,Su Atencion,original sound - hosendo03 (Contains music from: Su Atencion - DJ Infinity),"Contains music from: ""Su Atencion""",[],0.0,0
1,SV,7101169216086117637,1653369804,🤎 #fyp,6806398212888183814,Nik,🇸🇻,,0,False,https://www.tiktok.com/@nicollear04/video/7101169216086117637?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101169216086117637&source=h5_m,4600942,2259,7410,755,746497,7.095019005370453e+18,7095019005370452778,72.0,7095019005370452778,Tití me preguntó,ur/gf,7024650886308430853,ur/gf,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095019029886274347.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9a2fe9bb843dac6dca05b56ec529a95a.json,False,False,Aomak,Titi me preguntó,Tití me preguntó (Contains music from: Titi me preguntó - Aomak),"Contains music from: ""Titi me preguntó""",[],0.0,0
